veiculo_titulo,veiculo_link_lote,veiculo_imagem,veiculo_patio_uf,veiculo_ano_fabricacao,veiculo_km,veiculo_valor_lance_atual,veiculo_situacao,veiculo_data_leilao,veiculo_tipo_combustivel,veiculo_cor,veiculo_possui_chave,veiculo_tipo_retomada,veiculo_tipo,veiculo_valor_fipe,veiculo_modelo,veiculo_fabricante,veiculo_patio_uf_localizacao
RENAULT/CLIO EXPRESSION 10 16VH (4P/2P),https://leilo.com.br/leilao/candeias-bahia/carros/renault/clio-expression-10-16vh-(4p%2F2p)/ano.2015/aec462a6-e09f-11ef-903d-02420a000042,https://leilo.cdndp.com.br/v1/arquivo/2025/7/3/1751552013563_354f9c1e-c057-462a-8b61-2284d20dbeb3_pequena_leilo.webp,BA,2014,N/A,13000.00,Leilão ao vivo em: 3h9m55s,09/07/2025,Flex,Vermelha,Não,Recuperado de Financiamento,Carros,30947.00,N/A,N/A,PATIO SALVADOR-BA (CANDEIAS/BA)
RENAULT/FLUENCE DYNAMIQUE (4P),https://leilo.com.br/leilao/eusebio-ceara/carros/renault/fluence-dynamique-(4p)/ano.2016/71a87272-7d04-11ef-a1ff-02420a0000dd,https://leilo.cdndp.com.br/v1/arquivo/2025/7/3/1751552070621_1936023b-de5a-417b-b11f-30d8a991a44a_pequena_leilo.webp,CE,2015,192.777,26000.00,Leilão ao vivo em: 3h10m22s,09/07/2025,Flex,Prata,Sim,Recuperado de Financiamento,Carros,53120.00,N/A,N/A,PATIO FORTALEZA/CE (EUSÉBIO/CE)
RENAULT/KWID ZEN 1.0 MECANICO (4P),https://leilo.com.br/leilao/eusebio-ceara/carros/renault/kwid-zen-1.0-mecanico-(4p)/ano.2018/9b5035c9-42e5-11f0-b593-02420a000005,https://leilo.cdndp.com.br/v1/arquivo/2025/7/3/1751544480730_f30f3fb3-2b8f-4d0e-906f-8c47a8fb09a8_pequena_leilo.webp,CE,2017,115.518,21600.00,Leilão ao vivo em: 3h10m49s,09/07/2025,Flex,Prata,Sim,Recuperado de Financiamento,Carros,37670.00,N/A,N/A,PATIO FORTALEZA/CE (EUSÉBIO/CE)
FIAT/DOBLO ELX,https://leilo.com.br/leilao/candeias-bahia/carros/fiat/doblo-elx/ano.2008/6559e471-4601-11f0-b593-02420a000005,https://leilo.cdndp.com.br/v1/arquivo/2025/7/3/1751551953075_2978cac4-bd92-492d-87a6-80634c0f50c3_pequena_leilo.webp,BA,2008,N/A,13000.00,Leilão ao vivo em: 3h11m14s,09/07/2025,Flex,Prata,Sim,Recuperado de Financiamento,Carros,30056.00,N/A,N/A,PATIO SALVADOR-BA (CANDEIAS/BA)
FIAT/PALIO FIRE WAY (4P),https://leilo.com.br/leilao/eusebio-ceara/carros/fiat/palio-fire-way-(4p)/ano.2016/cfe07433-4c6c-11f0-b593-02420a000005,https://leilo.cdndp.com.br/v1/arquivo/2025/7/3/1751544451221_1fd09541-aa2e-4af7-8992-a83e6677c3e4_pequena_leilo.webp,CE,2015,248.842,23000.00,Leilão ao vivo em: 3h11m41s,09/07/2025,Flex,Vermelha,Sim,Recuperado de Financiamento,Carros,33679.00,N/A,N/A,PATIO FORTALEZA/CE (EUSÉBIO/CE)
FORD/FIESTA SEDAN 1.6 FLEX (4P),https://leilo.com.br/leilao/candeias-bahia/carros/ford/fiesta-sedan-1.6-flex-(4p)/ano.2013/9d5c1bf6-ed61-11ef-bd15-02420a00000b,https://leilo.cdndp.com.br/v1/arquivo/2025/7/3/1751551923369_cf2dc2b6-9491-4825-b255-30c55c86a787_pequena_leilo.webp,BA,2012,203.167,16000.00,Leilão ao vivo em: 3h12m8s,09/07/2025,Flex,Prata,Sim,Recuperado de Financiamento,Carros,32032.00,N/A,N/A,PATIO SALVADOR-BA (CANDEIAS/BA)
FORD/KA SE B (4P),https://leilo.com.br/leilao/candeias-bahia/carros/ford/ka-se-b-(4p)/ano.2018/d7a9b251-dffc-11ef-903d-02420a000042,https://leilo.cdndp.com.br/v1/arquivo/2025/7/3/1751544454207_0aefba42-0332-49e7-9c41-1977c909b1bd_pequena_leilo.webp,BA,2018,172.384,21000.00,Leilão ao vivo em: 3h12m35s,09/07/2025,Flex,Prata,Sim,Recuperado de Financiamento,Carros,43115.00,N/A,N/A,PATIO SALVADOR-BA (CANDEIAS/BA)
FORD/KA HATCH SE 1.0 C (4P),https://leilo.com.br/leilao/eusebio-ceara/carros/ford/ka-hatch-se-1.0-c-(4p)/ano.2019/25010223-ff3f-11ef-8c72-02420a00002d,https://leilo.cdndp.com.br/v1/arquivo/2025/7/3/1751551920650_4461a2c7-6e54-4be5-a678-9f07af08e165_pequena_leilo.webp,CE,2019,137.404,22000.00,Leilão ao vivo em: 3h13m2s,09/07/2025,Flex,Branca,Sim,Recuperado de Financiamento,Carros,45131.00,N/A,N/A,PATIO FORTALEZA/CE (EUSÉBIO/CE)
CHEVROLET/ONIX JOYE (4P),https://leilo.com.br/leilao/eusebio-ceara/carros/chevrolet/onix-joye-(4p)/ano.2018/b07403ee-4dcf-11f0-b593-02420a000005,https://leilo.cdndp.com.br/v1/arquivo/2025/7/3/1751551894221_bda380eb-9351-4e31-a087-1df37a811a79_pequena_leilo.webp,CE,2017,148.749,23000.00,Leilão ao vivo em: 3h13m29s,09/07/2025,Flex,Branca,Sim,Recuperado de Financiamento,Carros,46649.00,N/A,N/A,PATIO FORTALEZA/CE (EUSÉBIO/CE)
VOLKSWAGEN/GOL 1.0 (2P/4P),https://leilo.com.br/leilao/eusebio-ceara/carros/volkswagen/gol-1.0-(2p%2F4p)/ano.2010/7a94c0be-de67-11ef-903d-02420a000042,https://leilo.cdndp.com.br/v1/arquivo/2025/7/3/1751551892073_42e4d8cb-19ca-4496-ad91-e920fc0880bb_pequena_leilo.webp,CE,2009,126.915,13200.00,Leilão ao vivo em: 3h13m55s,09/07/2025,Flex,Preta,Sim,Recuperado de Financiamento,Carros,23449.00,N/A,N/A,PATIO FORTALEZA/CE (EUSÉBIO/CE)
CHEVROLET/ONIX JOYE (4P),https://leilo.com.br/leilao/eusebio-ceara/carros/chevrolet/onix-joye-(4p)/ano.2018/12d8fb5c-204d-11f0-bcc9-02420a000216,https://leilo.cdndp.com.br/v1/arquivo/2025/7/3/1751551952281_61bb7549-c1f1-4d71-a630-089e51f0b012_pequena_leilo.webp,CE,2018,103.034,25500.00,Leilão ao vivo em: 3h14m22s,09/07/2025,Flex,Branca,Sim,Recuperado de Financiamento,Carros,46346.00,N/A,N/A,PATIO FORTALEZA/CE (EUSÉBIO/CE)
CHEVROLET/PRISMA LT 1.4 MECANICO (4P),https://leilo.com.br/leilao/eusebio-ceara/carros/chevrolet/prisma-lt-1.4-mecanico-(4p)/ano.2016/c61d93b9-ed43-11ef-bd15-02420a00000b,https://leilo.cdndp.com.br/v1/arquivo/2025/7/3/1751552100868_9c4185c2-8c71-44df-abfc-fe3c5d918c14_pequena_leilo.webp,CE,2016,224.049,28200.00,Leilão ao vivo em: 3h14m50s,09/07/2025,Flex,Branca,Sim,Recuperado de Financiamento,Carros,51099.00,N/A,N/A,PATIO FORTALEZA/CE (EUSÉBIO/CE)
VOLKSWAGEN/GOL CITY MB S (2P/4P),https://leilo.com.br/leilao/eusebio-ceara/carros/volkswagen/gol-city-mb-s-(2p%2F4p)/ano.2015/34878e0d-487a-11f0-b593-02420a000005,https://leilo.cdndp.com.br/v1/arquivo/2025/7/3/1751544482394_ac9a0997-ef25-4ee8-a4c9-35bfc3182610_pequena_leilo.webp,CE,2014,113.666,21500.00,Leilão ao vivo em: 3h15m17s,09/07/2025,Flex,Branca,Sim,Recuperado de Financiamento,Carros,33197.00,N/A,N/A,PATIO FORTALEZA/CE (EUSÉBIO/CE)
CHEVROLET/CRUZE HATCH LT HB (4P),https://leilo.com.br/leilao/eusebio-ceara/carros/chevrolet/cruze-hatch-lt-hb-(4p)/ano.2012/7c647b33-f69f-11ef-9028-02420a000044,https://leilo.cdndp.com.br/v1/arquivo/2025/7/7/1751896984544_85ce8161-8c1c-4dd5-af04-0b20b6d7deae_pequena_leilo.webp,CE,2012,175.265,25000.00,Leilão ao vivo em: 3h15m44s,09/07/2025,Flex,Prata,Sim,Recuperado de Financiamento,Carros,51119.00,N/A,N/A,PATIO FORTALEZA/CE (EUSÉBIO/CE)
JEEP/RENEGADE SPORT AUTOMATICO,https://leilo.com.br/leilao/eusebio-ceara/carros/jeep/renegade-sport-automatico/ano.2017/e23825b2-324d-11f0-9f79-02420a000005,https://leilo.cdndp.com.br/v1/arquivo/2025/7/7/1751896952165_50921af5-02ba-4197-9241-4e76b9e1a4fc_pequena_leilo.webp,CE,2016,151.950,37000.00,Leilão ao vivo em: 3h16m12s,09/07/2025,Flex,Branca,Sim,Recuperado de Financiamento,Carros,67822.00,N/A,N/A,PATIO FORTALEZA/CE (EUSÉBIO/CE)
NISSAN/SENTRA S (4P),https://leilo.com.br/leilao/candeias-bahia/carros/nissan/sentra-s-(4p)/ano.2009/aee70eff-05be-11f0-8c72-02420a00002d,https://leilo.cdndp.com.br/v1/arquivo/2025/7/7/1751896920735_c1226ee0-a167-4663-964c-58ac3ca28505_pequena_leilo.webp,BA,2008,N/A,9000.00,Leilão ao vivo em: 3h16m37s,09/07/2025,Gasolina,Preta,Não,Recuperado de Financiamento,Carros,30444.00,N/A,N/A,PATIO SALVADOR-BA (CANDEIAS/BA)
VOLKSWAGEN/GOL CITY MB (2P/4P),https://leilo.com.br/leilao/eusebio-ceara/carros/volkswagen/gol-city-mb-(2p%2F4p)/ano.2015/93ca5c0f-2520-11f0-bcc9-02420a000216,https://leilo.cdndp.com.br/v1/arquivo/2025/7/7/1751896923969_6ee67720-f141-4116-990c-e92a3f53d2ec_pequena_leilo.webp,CE,2014,141.640,17400.00,Leilão ao vivo em: 3h17m4s,09/07/2025,Flex,Prata,Sim,Recuperado de Financiamento,Carros,32477.00,N/A,N/A,PATIO FORTALEZA/CE (EUSÉBIO/CE)
CHEVROLET/CLASSIC LS (2P/4P),https://leilo.com.br/leilao/eusebio-ceara/carros/chevrolet/classic-ls-(2p%2F4p)/ano.2013/0f66e712-25d1-11f0-bcc9-02420a000216,https://leilo.cdndp.com.br/v1/arquivo/2025/7/7/1751896890814_62933b9c-db74-4c4d-8994-f50e1edb0eb4_pequena_leilo.webp,CE,2012,206.352,14200.00,Leilão ao vivo em: 3h17m31s,09/07/2025,Flex,Prata,Sim,Recuperado de Financiamento,Carros,27559.00,N/A,N/A,PATIO FORTALEZA/CE (EUSÉBIO/CE)
CHEVROLET/ONIX LT 1.4 MECANICO (4P),https://leilo.com.br/leilao/candeias-bahia/carros/chevrolet/onix-lt-1.4-mecanico-(4p)/ano.2016/a89b1de8-3a5b-11f0-9677-02420a00000b,https://leilo.cdndp.com.br/v1/arquivo/2025/7/7/1751896893378_a0e6fc5a-e04a-40ee-9f19-09b65114e1ff_pequena_leilo.webp,BA,2016,113.207,27000.00,Leilão ao vivo em: 3h17m59s,09/07/2025,Flex,Preta,Sim,Recuperado de Financiamento,Carros,50494.00,N/A,N/A,PATIO SALVADOR-BA (CANDEIAS/BA)
FORD/KA SE (4P),https://leilo.com.br/leilao/eusebio-ceara/carros/ford/ka-se-(4p)/ano.2015/f5c717b5-3d4c-11f0-b593-02420a000005,https://leilo.cdndp.com.br/v1/arquivo/2025/7/7/1751896322662_987c22ad-63bb-4f91-9b18-603ffd9abb76_pequena_leilo.webp,CE,2014,148.965,17000.00,Leilão ao vivo em: 3h18m25s,09/07/2025,Flex,Prata,Não,Recuperado de Financiamento,Carros,35579.00,N/A,N/A,PATIO FORTALEZA/CE (EUSÉBIO/CE)
FORD/KA SE C (4P),https://leilo.com.br/leilao/eusebio-ceara/carros/ford/ka-se-c-(4p)/ano.2019/8254ac0c-4247-11f0-b593-02420a000005,https://leilo.cdndp.com.br/v1/arquivo/2025/7/7/1751896358410_11d083f8-d5b2-4c0e-913a-5dc98364045b_pequena_leilo.webp,CE,2018,91.680,27400.00,Leilão ao vivo em: 3h18m41s,09/07/2025,Flex,Cinza,Sim,Recuperado de Financiamento,Carros,48989.00,N/A,N/A,PATIO FORTALEZA/CE (EUSÉBIO/CE)
FORD/FIESTA HATCH S (4P),https://leilo.com.br/leilao/eusebio-ceara/carros/ford/fiesta-hatch-s-(4p)/ano.2014/2c5477de-30e9-11f0-9f79-02420a000005,https://leilo.cdndp.com.br/v1/arquivo/2025/7/8/1751981492443_b6e84a5a-9bda-4fe3-b168-9d923313c9ad_pequena_leilo.webp,CE,2013,215.932,19400.00,Leilão ao vivo em: 3h19m8s,09/07/2025,Flex,Vermelha,Sim,Recuperado de Financiamento,Carros,35192.00,N/A,N/A,PATIO FORTALEZA/CE (EUSÉBIO/CE)
CHEVROLET/ONIX 10MT LT2,https://leilo.com.br/leilao/eusebio-ceara/carros/chevrolet/onix-10mt-lt2/ano.2021/1b4f7649-e3d7-11ef-903d-02420a000042,https://leilo.cdndp.com.br/v1/arquivo/2025/7/7/1751896620599_413d7f87-2712-4f70-9173-63fcec2dee15_pequena_leilo.webp,CE,2021,81.602,37000.00,Leilão ao vivo em: 3h19m34s,09/07/2025,Flex,Branca,Sim,Recuperado de Financiamento,Carros,63242.00,N/A,N/A,PATIO FORTALEZA/CE (EUSÉBIO/CE)
CHEVROLET/ONIX PLUS 10TAT LTZ,https://leilo.com.br/leilao/eusebio-ceara/carros/chevrolet/onix-plus-10tat-ltz/ano.2022/ddb2b426-03eb-11f0-8c72-02420a00002d,https://leilo.cdndp.com.br/v1/arquivo/2025/7/7/1751896262688_041aa95c-3994-407f-ac32-bc7b6b39d74f_pequena_leilo.webp,CE,2021,65.571,47000.00,Leilão ao vivo em: 3h20m1s,09/07/2025,Flex,Branca,Sim,Recuperado de Financiamento,Carros,81203.00,N/A,N/A,PATIO FORTALEZA/CE (EUSÉBIO/CE)
VOLKSWAGEN/NOVO VOYAGE TRENDLINE MBV (4P),https://leilo.com.br/leilao/candeias-bahia/carros/volkswagen/novo-voyage-trendline-mbv-(4p)/ano.2017/5c1df30c-fe48-11ed-81dc-02420a000018,https://leilo.cdndp.com.br/v1/arquivo/2025/7/7/1751896355974_238b8d96-0288-4554-a27a-630f1a02a4e4_pequena_leilo.webp,BA,2016,278.813,19000.00,Leilão ao vivo em: 3h20m28s,09/07/2025,Flex,Prata,Não,Recuperado de Financiamento,Carros,42822.00,N/A,N/A,PATIO SALVADOR-BA (CANDEIAS/BA)
FIAT/STRADA WORKING CABINE SIMPLES E,https://leilo.com.br/leilao/candeias-bahia/carros/fiat/strada-working-cabine-simples-e/ano.2017/c0bd8f52-ce88-11ef-8e48-02420a000017,https://leilo.cdndp.com.br/v1/arquivo/2025/7/7/1751896384682_b0c03a5f-f57e-4635-8862-452f1400dd96_pequena_leilo.webp,BA,2016,30.707,28500.00,Leilão ao vivo em: 3h20m55s,09/07/2025,Flex,Branca,Sim,Recuperado de Financiamento,Carros,51698.00,N/A,N/A,PATIO SALVADOR-BA (CANDEIAS/BA)
FIAT/PALIO ATTRACTIVE 1.0 (2P/4P),https://leilo.com.br/leilao/candeias-bahia/carros/fiat/palio-attractive-1.0-(2p%2F4p)/ano.2012/65fa8d93-0005-11f0-8c72-02420a00002d,https://leilo.cdndp.com.br/v1/arquivo/2025/7/7/1751896381169_3e215ee8-c4c6-48bc-9a11-f7ab99ad9ffb_pequena_leilo.webp,BA,2012,161.824,18000.00,Leilão ao vivo em: 3h21m22s,09/07/2025,Flex,Cinza,Sim,Recuperado de Financiamento,Carros,32557.00,N/A,N/A,PATIO SALVADOR-BA (CANDEIAS/BA)
JEEP/RENEGADE SPORT AUTOMATICO,https://leilo.com.br/leilao/candeias-bahia/carros/jeep/renegade-sport-automatico/ano.2016/a6e48d33-4b7a-11f0-b593-02420a000005,https://leilo.cdndp.com.br/v1/arquivo/2025/7/8/1751978824974_39d250ce-3b9a-4563-8d25-c3d13eecb2d6_pequena_leilo.webp,BA,2015,92.476,36100.00,Leilão ao vivo em: 3h21m49s,09/07/2025,Flex,Preta,Sim,Recuperado de Financiamento,Carros,65465.00,N/A,N/A,PATIO SALVADOR-BA (CANDEIAS/BA)
CHEVROLET/ONIX LT 1.4 MECANICO (4P),https://leilo.com.br/leilao/eusebio-ceara/carros/chevrolet/onix-lt-1.4-mecanico-(4p)/ano.2017/28f9d17d-4615-11f0-b593-02420a000005,https://leilo.cdndp.com.br/v1/arquivo/2025/7/8/1751993790947_b7353c47-66e0-45a3-991e-bf8005de298d_pequena_leilo.webp,CE,2016,97.309,29800.00,Leilão ao vivo em: 3h22m17s,09/07/2025,Flex,Cinza,Sim,Recuperado de Financiamento,Carros,54141.00,N/A,N/A,PATIO FORTALEZA/CE (EUSÉBIO/CE)
RENAULT/LOGAN EXPRESSION (4P),https://leilo.com.br/leilao/candeias-bahia/carros/renault/logan-expression-(4p)/ano.2015/a3fd498c-5c70-11ee-81b8-02420a0000b1,https://leilo.cdndp.com.br/v1/arquivo/2025/7/7/1751897510874_0fa44cae-4bae-49c8-b802-54b48200317a_pequena_leilo.webp,BA,2014,275.710,15000.00,Leilão ao vivo em: 3h22m44s,09/07/2025,Flex,Branca,Sim,-,Carros,34592.00,N/A,N/A,PATIO SALVADOR-BA (CANDEIAS/BA)
TOYOTA/ETIOS SD X (4P),https://leilo.com.br/leilao/candeias-bahia/carros/toyota/etios-sd-x-(4p)/ano.2015/75c61f2b-71d1-11ef-8b26-02420a000015,https://leilo.cdndp.com.br/v1/arquivo/2025/7/7/1751919333682_397abeb9-54a5-410c-82a1-6f239b00a20b_pequena_leilo.webp,BA,2015,204.065,20000.00,Leilão ao vivo em: 3h23m11s,09/07/2025,Flex,Branca,Sim,Recuperado de Financiamento,Carros,40732.00,N/A,N/A,PATIO SALVADOR-BA (CANDEIAS/BA)
CHEVROLET/ONIX PLUS 10TMT LT1,https://leilo.com.br/leilao/eusebio-ceara/carros/chevrolet/onix-plus-10tmt-lt1/ano.2020/198721b3-0a3c-11f0-8c72-02420a00002d,https://leilo.cdndp.com.br/v1/arquivo/2025/7/7/1751896261593_8dbb2a60-123d-40e8-85f6-5697ab0a3cca_pequena_leilo.webp,CE,2020,91.818,37000.00,Leilão ao vivo em: 3h23m38s,09/07/2025,Flex,Preta,Sim,Recuperado de Financiamento,Carros,65652.00,N/A,N/A,PATIO FORTALEZA/CE (EUSÉBIO/CE)
CHEVROLET/ONIX 10MT LT2,https://leilo.com.br/leilao/eusebio-ceara/carros/chevrolet/onix-10mt-lt2/ano.2022/fba8af34-2290-11f0-bcc9-02420a000216,https://leilo.cdndp.com.br/v1/arquivo/2025/7/7/1751896293652_eda64b22-6127-4b6a-a463-9613ea7d5527_pequena_leilo.webp,CE,2021,60.397,40000.00,Leilão ao vivo em: 3h24m5s,09/07/2025,Flex,Cinza,Sim,Recuperado de Financiamento,Carros,68066.00,N/A,N/A,PATIO FORTALEZA/CE (EUSÉBIO/CE)
CHEVROLET/COBALT LTZ (4P),https://leilo.com.br/leilao/eusebio-ceara/carros/chevrolet/cobalt-ltz-(4p)/ano.2015/9955e9ff-977b-11ef-9088-02420a0000e0,https://leilo.cdndp.com.br/v1/arquivo/2025/7/7/1751896324867_d155fa70-80cf-44f2-8249-b5db5813753a_pequena_leilo.webp,CE,2014,139.140,24800.00,Leilão ao vivo em: 3h24m32s,09/07/2025,Flex,Prata,Sim,Recuperado de Financiamento,Carros,44994.00,N/A,N/A,PATIO 2 - FORTALEZA/CE (EUSÉBIO/CE)
FIAT/STRADA HARD WORKING CABINE SIMPLES CC E,https://leilo.com.br/leilao/eusebio-ceara/carros/fiat/strada-hard-working-cabine-simples-cc-e/ano.2018/c31d3c49-00fd-11f0-8c72-02420a00002d,https://leilo.cdndp.com.br/v1/arquivo/2025/7/8/1751978730279_a0382590-c387-4cd1-8fdb-7db5f147aa17_pequena_leilo.webp,CE,2017,N/A,32000.00,Leilão ao vivo em: 3h24m57s,09/07/2025,Flex,Branca,Sim,Recuperado de Financiamento,Carros,54319.00,N/A,N/A,PATIO 2 - FORTALEZA/CE (EUSÉBIO/CE)
VOLKSWAGEN/UP TAKE MA (2P/4P),https://leilo.com.br/leilao/eusebio-ceara/carros/volkswagen/up-take-ma-(2p%2F4p)/ano.2015/9397dfd1-dfcd-11ef-903d-02420a000042,https://leilo.cdndp.com.br/v1/arquivo/2025/7/7/1751919336979_ae0a00fe-f97b-4d5f-a737-0dd555222f7a_pequena_leilo.webp,CE,2014,99.932,19400.00,Leilão ao vivo em: 3h25m54s,09/07/2025,Flex,Prata,Sim,Recuperado de Financiamento,Carros,34799.00,N/A,N/A,PATIO 2 - FORTALEZA/CE (EUSÉBIO/CE)
FORD/FOCUS FC FLEX (4P),https://leilo.com.br/leilao/eusebio-ceara/carros/ford/focus-fc-flex-(4p)/ano.2010/b9575c41-4a27-11ed-a391-02420a000011,https://leilo.cdndp.com.br/v1/arquivo/2025/7/7/1751919361102_c3fb8f0b-0a18-4f35-a420-c1e9d427242f_pequena_leilo.webp,CE,2010,232.377,16000.00,Leilão ao vivo em: 3h26m51s,09/07/2025,Flex,Preta,Não,Recuperado de Financiamento,Carros,32287.00,N/A,N/A,PATIO 2 - FORTALEZA/CE (EUSÉBIO/CE)
CHEVROLET/CELTA LS (2P/4P),https://leilo.com.br/leilao/eusebio-ceara/carros/chevrolet/celta-ls-(2p%2F4p)/ano.2012/8164647f-aeb5-11ed-bf65-02420a0000a5,https://leilo.cdndp.com.br/v1/arquivo/2025/7/7/1751907180874_dc5450f2-bddc-4213-8a62-a4c6dd556790_pequena_leilo.webp,CE,2011,N/A,11000.00,Leilão ao vivo em: 3h27m16s,09/07/2025,Flex,Vermelha,Sim,Recuperado de Financiamento,Carros,25887.00,N/A,N/A,PATIO 2 - FORTALEZA/CE (EUSÉBIO/CE)
