Título,Link,Imagem,UF,Ano,KM,Valor do Lance,Situação,Data Leilão
RENAULT/FLUENCE DYNAMIQUE (4P),https://leilo.com.br/leilao/eusebio-ceara/carros/renault/fluence-dynamique-(4p)/ano.2016/71a87272-7d04-11ef-a1ff-02420a0000dd,https://leilo.cdndp.com.br/v1/arquivo/2025/6/11/1749670915858_bb164abf-124e-4524-8e4e-f832245bb5ed_pequena_leilo.webp,N/A,2015,192.777 km,"R$ 23.000,00",Leilão ao vivo em: 11h12m49s,18/06/2025
FIAT/DOBLO ADVENTURE FLEX,https://leilo.com.br/leilao/eusebio-ceara/carros/fiat/doblo-adventure-flex/ano.2013/7ced8de6-a5a5-11ef-8e48-02420a000017,https://leilo.cdndp.com.br/v1/arquivo/2025/6/11/1749670842627_33a030f6-4f1f-48ea-a8b9-a93cc3f57057_pequena_leilo.webp,N/A,2012,372.222 km,"R$ 22.000,00",Leilão ao vivo em: 11h13m19s,18/06/2025
CHEVROLET/CRUZE HATCH LT HB (4P),https://leilo.com.br/leilao/eusebio-ceara/carros/chevrolet/cruze-hatch-lt-hb-(4p)/ano.2012/7c647b33-f69f-11ef-9028-02420a000044,https://leilo.cdndp.com.br/v1/arquivo/2025/6/11/1749672096103_0f97dc18-6036-4d0c-a098-4f1b16751f59_pequena_leilo.webp,N/A,2012,175.265 km,"R$ 25.000,00",Leilão ao vivo em: 11h13m48s,18/06/2025
CHEVROLET/CLASSIC LS (2P/4P),https://leilo.com.br/leilao/eusebio-ceara/carros/chevrolet/classic-ls-(2p%2F4p)/ano.2015/38dc7ac0-fb75-11ef-8c72-02420a00002d,https://leilo.cdndp.com.br/v1/arquivo/2025/6/11/1749672119255_e0bf1f52-403f-4133-8bf1-d59a1d849609_pequena_leilo.webp,N/A,2014,178.388 km,"R$ 14.000,00",Leilão ao vivo em: 11h14m18s,18/06/2025
JEEP/RENEGADE SPORT AUTOMATICO,https://leilo.com.br/leilao/eusebio-ceara/carros/jeep/renegade-sport-automatico/ano.2017/e23825b2-324d-11f0-9f79-02420a000005,https://leilo.cdndp.com.br/v1/arquivo/2025/6/12/1749763385094_bddf1b3f-5a1a-4b0c-b154-d89e89b5805e_pequena_leilo.webp,N/A,2016,151.950 km,"R$ 38.400,00",Leilão ao vivo em: 11h14m48s,18/06/2025
PEUGEOT/308 ALLURE (4P),https://leilo.com.br/leilao/eusebio-ceara/carros/peugeot/308-allure-(4p)/ano.2014/17784819-29ed-11f0-9f79-02420a000005,https://leilo.cdndp.com.br/v1/arquivo/2025/6/13/1749848043533_b35b8757-f0f8-49b5-9b64-b38d2caf52ed_pequena_leilo.webp,N/A,2013,109.006 km,"R$ 17.600,00",Leilão ao vivo em: 11h15m17s,18/06/2025
FORD/FIESTA SEDAN 1.6 FLEX (4P),https://leilo.com.br/leilao/candeias-bahia/carros/ford/fiesta-sedan-1.6-flex-(4p)/ano.2013/9d5c1bf6-ed61-11ef-bd15-02420a00000b,https://leilo.cdndp.com.br/v1/arquivo/2025/6/11/1749670803522_3f057269-248d-4f8e-afae-e5fa540e2193_pequena_leilo.webp,N/A,2012,203.167 km,"R$ 16.000,00",Leilão ao vivo em: 11h15m44s,18/06/2025
NISSAN/SENTRA S (4P),https://leilo.com.br/leilao/candeias-bahia/carros/nissan/sentra-s-(4p)/ano.2009/aee70eff-05be-11f0-8c72-02420a00002d,https://leilo.cdndp.com.br/v1/arquivo/2025/6/11/1749670824056_756443f0-4e97-4d73-813c-7ff469660c9b_pequena_leilo.webp,N/A,2008,N/A,"R$ 5.000,00",Leilão ao vivo em: 11h16m12s,18/06/2025
FIAT/STRADA ADVENTURE CABINE DUPLA,https://leilo.com.br/leilao/candeias-bahia/carros/fiat/strada-adventure-cabine-dupla/ano.2010/85f1e79b-978b-11ef-9088-02420a0000e0,https://leilo.cdndp.com.br/v1/arquivo/2025/6/11/1749670760423_cfb2ff38-5414-41dc-88a2-cf830be37be6_pequena_leilo.webp,N/A,2009,N/A,"R$ 25.500,00",Leilão ao vivo em: 11h16m41s,18/06/2025
CHEVROLET/CELTA 4P SPIRIT (2P/4P),https://leilo.com.br/leilao/candeias-bahia/carros/chevrolet/celta-4p-spirit-(2p%2F4p)/ano.2010/a5150455-324a-11f0-9f79-02420a000005,https://leilo.cdndp.com.br/v1/arquivo/2025/6/17/1750164699738_7d5debc3-7617-462a-a792-3320194ee199_pequena_leilo.webp,N/A,2009,N/A,"R$ 12.800,00",Leilão ao vivo em: 11h17m10s,18/06/2025
CHEVROLET/CLASSIC LS (2P/4P),https://leilo.com.br/leilao/goiania-goias/carros/chevrolet/classic-ls-(2p%2F4p)/ano.2015/673d575d-2d92-11f0-9f79-02420a000005,https://leilo.cdndp.com.br/v1/arquivo/2025/6/11/1749670761273_9bd1949a-d7a4-42e2-a8c9-5243a9956786_pequena_leilo.webp,N/A,2014,N/A,"R$ 15.000,00",Leilão ao vivo em: 11h17m40s,18/06/2025
FIAT/DOBLO ADVENTURE FLEX,https://leilo.com.br/leilao/candeias-bahia/carros/fiat/doblo-adventure-flex/ano.2007/6e522816-30d3-11f0-9f79-02420a000005,https://leilo.cdndp.com.br/v1/arquivo/2025/6/11/1749672021747_7ad2b87e-6349-4b9c-be19-be28bd74104b_pequena_leilo.webp,N/A,2006,393.445 km,"R$ 10.300,00",Leilão ao vivo em: 11h18m9s,18/06/2025
RENAULT/CLIO EXPRESSION 10 16VH (4P/2P),https://leilo.com.br/leilao/candeias-bahia/carros/renault/clio-expression-10-16vh-(4p%2F2p)/ano.2015/aec462a6-e09f-11ef-903d-02420a000042,https://leilo.cdndp.com.br/v1/arquivo/2025/6/12/1749763275114_95816c21-94e1-4f86-90c2-4aa28351a4d6_pequena_leilo.webp,N/A,2014,N/A,"R$ 5.000,00",Leilão ao vivo em: 11h18m39s,18/06/2025
VOLKSWAGEN/GOL 1.0 GIV (2P/4P),https://leilo.com.br/leilao/eusebio-ceara/carros/volkswagen/gol-1.0-giv-(2p%2F4p)/ano.2010/5a33aaee-3753-11f0-bd5d-02420a000005,https://leilo.cdndp.com.br/v1/arquivo/2025/6/16/1750102219121_9f4730aa-b500-46bd-a548-e718450ccc88_pequena_leilo.webp,N/A,2010,114.503 km,"R$ 11.000,00",Leilão ao vivo em: 11h19m38s,18/06/2025
CHEVROLET/PRISMA LT 1.4 MECANICO (4P),https://leilo.com.br/leilao/eusebio-ceara/carros/chevrolet/prisma-lt-1.4-mecanico-(4p)/ano.2016/c61d93b9-ed43-11ef-bd15-02420a00000b,https://leilo.cdndp.com.br/v1/arquivo/2025/6/13/1749848044499_c86b8206-f099-4009-8238-04fb08edaa4a_pequena_leilo.webp,N/A,2016,224.049 km,"R$ 28.000,00",Leilão ao vivo em: 11h20m8s,18/06/2025
FORD/FIESTA FLEX (4P),https://leilo.com.br/leilao/candeias-bahia/carros/ford/fiesta-flex-(4p)/ano.2012/f3947598-2c09-11f0-9f79-02420a000005,https://leilo.cdndp.com.br/v1/arquivo/2025/6/13/1749848085869_d1581b45-33b4-4f2c-a177-5c20f4d6029d_pequena_leilo.webp,N/A,2012,N/A,"R$ 14.500,00",Leilão ao vivo em: 11h20m37s,18/06/2025
FIAT/PALIO ELX FLEX (4P/2P),https://leilo.com.br/leilao/eusebio-ceara/carros/fiat/palio-elx-flex-(4p%2F2p)/ano.2010/d48dc494-22a7-11f0-bcc9-02420a000216,https://leilo.cdndp.com.br/v1/arquivo/2025/6/16/1750094946665_46110bf1-b33f-4040-852d-859101170ac4_pequena_leilo.webp,N/A,2010,181.839 km,"R$ 13.300,00",Leilão ao vivo em: 11h21m37s,18/06/2025
VOLKSWAGEN/GOL 1.0 (2P/4P),https://leilo.com.br/leilao/eusebio-ceara/carros/volkswagen/gol-1.0-(2p%2F4p)/ano.2010/7a94c0be-de67-11ef-903d-02420a000042,https://leilo.cdndp.com.br/v1/arquivo/2025/6/16/1750095693755_f5eca48e-57ab-4bd0-afe6-288279e377d9_pequena_leilo.webp,N/A,2009,126.915 km,"R$ 11.900,00",Leilão ao vivo em: 11h22m36s,18/06/2025
FORD/KA SE B (4P),https://leilo.com.br/leilao/candeias-bahia/carros/ford/ka-se-b-(4p)/ano.2018/d7a9b251-dffc-11ef-903d-02420a000042,https://leilo.cdndp.com.br/v1/arquivo/2025/6/16/1750095726895_80904b11-09f8-430a-b24b-8c9405d03e74_pequena_leilo.webp,N/A,2018,172.384 km,"R$ 25.000,00",Leilão ao vivo em: 11h23m36s,18/06/2025
CHEVROLET/MONTANA LS,https://leilo.com.br/leilao/candeias-bahia/carros/chevrolet/montana-ls/ano.2015/35b06503-fea0-11ef-8c72-02420a00002d,https://leilo.cdndp.com.br/v1/arquivo/2025/6/16/1750095754783_1152fa11-3b65-4d78-ba04-ade6d4c18260_pequena_leilo.webp,N/A,2014,127.865 km,"R$ 23.000,00",Leilão ao vivo em: 11h24m35s,18/06/2025
