Situação,Imagem,Ano,KM,Título,UF,Link,Valor do Lance,Data Leilão
Leilão ao vivo em: 2 dias 17h31m6s,https://leilo.cdndp.com.br/v1/arquivo/2025/6/18/1750279233334_b8286ab0-e6ec-48b6-aa31-2e31a297063a_pequena_leilo.webp,2011,221.069 km,PEUGEOT/207 PASSION XR (4P),SP,https://leilo.com.br/leilao/sao-carlos-sao-paulo/carros/peugeot/207-passion-xr-(4p)/ano.2011/2011ea03-3008-11f0-9f79-02420a000005,"R$ 6.000,00",23/06/2025
Leilão ao vivo em: 2 dias 17h32m5s,https://leilo.cdndp.com.br/v1/arquivo/2025/6/18/1750279206328_e7cd1fc5-f478-4574-b167-b9ec7ec91c39_pequena_leilo.webp,2008,243.219 km,MITSUBISHI/OUTLANDER V6,SP,https://leilo.com.br/leilao/sao-carlos-sao-paulo/carros/mitsubishi/outlander-v6/ano.2008/dacab325-14a7-11f0-b6cf-02420a00009e,"R$ 16.000,00",23/06/2025
Leilão ao vivo em: 2 dias 17h32m35s,https://leilo.cdndp.com.br/v1/arquivo/2025/6/18/1750279123075_0f5bff52-8dd3-4201-9757-6222884b1502_pequena_leilo.webp,2010,161.331 km,PEUGEOT/207 XR (2P/4P),SP,https://leilo.com.br/leilao/sao-carlos-sao-paulo/carros/peugeot/207-xr-(2p%2F4p)/ano.2011/4a911237-2607-11f0-bcc9-02420a000216,"R$ 11.200,00",23/06/2025
Leilão ao vivo em: 2 dias 17h33m4s,https://leilo.cdndp.com.br/v1/arquivo/2025/6/18/1750279094085_cdef048c-6836-4cc4-9f41-a99eaa57a4e2_pequena_leilo.webp,2011,141.001 km,VOLVO/XC60 T5 DYNAMIC,SP,https://leilo.com.br/leilao/sao-carlos-sao-paulo/carros/volvo/xc60-t5-dynamic/ano.2012/a09bf23f-10c6-11f0-8c72-02420a00002d,"R$ 33.200,00",23/06/2025
Leilão ao vivo em: 2 dias 17h33m33s,https://leilo.cdndp.com.br/v1/arquivo/2025/6/18/1750279160434_044bc520-441d-4484-a319-2fe40312e788_pequena_leilo.webp,2013,95.775 km,FIAT/BRAVO ESSENCE (4P),SP,https://leilo.com.br/leilao/sao-carlos-sao-paulo/carros/fiat/bravo-essence-(4p)/ano.2014/8bad396c-dcdb-11ef-903d-02420a000042,"R$ 16.400,00",23/06/2025
Leilão ao vivo em: 2 dias 17h34m1s,https://leilo.cdndp.com.br/v1/arquivo/2025/6/18/1750279061847_c2a89cf4-cf62-4b27-83e6-e61d2fb48988_pequena_leilo.webp,2005,268.241 km,FORD/FOCUS 2.0L FC (4P),SP,https://leilo.com.br/leilao/sao-carlos-sao-paulo/carros/ford/focus-2.0l-fc-(4p)/ano.2005/6e55e439-ae8d-11ef-8e48-02420a000017,"R$ 7.000,00",23/06/2025
Leilão ao vivo em: 2 dias 17h34m27s,https://leilo.cdndp.com.br/v1/arquivo/2025/6/18/1750279154584_92cb49b0-40e8-40a9-8780-b13fdf67c882_pequena_leilo.webp,2012,141.221 km,CHEVROLET/CELTA LT 1.0L (2P/4P),PR,https://leilo.com.br/leilao/sao-jose-dos-pinhais-parana/carros/chevrolet/celta-lt-1.0l-(2p%2F4p)/ano.2012/cb7c8451-cea3-11ef-8e48-02420a000017,"R$ 11.000,00",23/06/2025
Leilão ao vivo em: 2 dias 17h34m55s,https://leilo.cdndp.com.br/v1/arquivo/2025/6/20/1750420894338_e6808183-2e97-405a-aeb7-d4fa4a905296_pequena_leilo.webp,2013,170.813 km,FIAT/FREEMONT PREC AT6,RS,https://leilo.com.br/leilao/alvorada-rio-grande-do-sul/carros/fiat/freemont-prec-at6/ano.2014/87a7dfdf-69fa-11ef-a764-02420a00003c,"R$ 23.000,00",23/06/2025
Leilão ao vivo em: 2 dias 17h35m24s,https://leilo.cdndp.com.br/v1/arquivo/2025/6/20/1750421009662_0be1d40f-c87d-4225-adf1-da6c351ba6d0_pequena_leilo.webp,2011,145.733 km,CHEVROLET/CLASSIC LS (2P/4P),RS,https://leilo.com.br/leilao/alvorada-rio-grande-do-sul/carros/chevrolet/classic-ls-(2p%2F4p)/ano.2012/1517a6ad-1471-11f0-b6cf-02420a00009e,"R$ 8.000,00",23/06/2025
Leilão ao vivo em: 2 dias 17h35m53s,https://leilo.cdndp.com.br/v1/arquivo/2025/6/20/1750421031057_e8ae4708-5466-424c-8a3b-700714fda76b_pequena_leilo.webp,2009,N/A,PEUGEOT/207 PASSION XR SPORT (4P),RS,https://leilo.com.br/leilao/alvorada-rio-grande-do-sul/carros/peugeot/207-passion-xr-sport-(4p)/ano.2009/e40208fe-bc99-11ef-8e48-02420a000017,"R$ 7.000,00",23/06/2025
Leilão ao vivo em: 2 dias 17h36m23s,https://leilo.cdndp.com.br/v1/arquivo/2025/6/20/1750421023117_f255b008-d606-42d5-87b1-af7623eef9a0_pequena_leilo.webp,2009,203.404 km,RENAULT/CLIO CAMPUS (2P/4P),RS,https://leilo.com.br/leilao/alvorada-rio-grande-do-sul/carros/renault/clio-campus-(2p%2F4p)/ano.2010/dab9deb5-2c10-11f0-9f79-02420a000005,"R$ 7.000,00",23/06/2025
Leilão ao vivo em: 2 dias 17h36m53s,https://leilo.cdndp.com.br/v1/arquivo/2025/6/20/1750421013643_7339b8fc-afdb-468e-a5ee-e997764ed2e6_pequena_leilo.webp,2011,193.754 km,PEUGEOT/207 XR (2P/4P),PR,https://leilo.com.br/leilao/sao-jose-dos-pinhais-parana/carros/peugeot/207-xr-(2p%2F4p)/ano.2012/3c31a79b-2cd6-11f0-9f79-02420a000005,"R$ 8.000,00",23/06/2025
Leilão ao vivo em: 2 dias 17h37m21s,https://leilo.cdndp.com.br/v1/arquivo/2025/6/20/1750419333650_1b3988d8-5a2a-445e-89a2-2d84a8d25ca7_pequena_leilo.webp,2099,N/A,VOLKSWAGEN/GOL CL MI (2P/4P),SP,https://leilo.com.br/leilao/sao-carlos-sao-paulo/carros/volkswagen/gol-cl-mi-(2p%2F4p)/ano.1999/33cfb5ae-fec8-11ef-8c72-02420a00002d,"R$ 5.300,00",23/06/2025
Leilão ao vivo em: 2 dias 17h37m51s,https://leilo.cdndp.com.br/v1/arquivo/2025/6/18/1750279030264_0df9d4a6-5f2d-43f1-99ad-1aa94fe05c94_pequena_leilo.webp,2022,56.265 km,CHEVROLET/ONIX 10MT HB,SP,https://leilo.com.br/leilao/sao-carlos-sao-paulo/carros/chevrolet/onix-10mt-hb/ano.2023/7f101a39-1540-11f0-b6cf-02420a00009e,"R$ 42.500,00",23/06/2025
Leilão ao vivo em: 2 dias 17h38m20s,https://leilo.cdndp.com.br/v1/arquivo/2025/6/18/1750279175990_7676cb9a-42f6-464e-b1ce-7760f543e73c_pequena_leilo.webp,2017,129.114 km,VOLKSWAGEN/NOVO GOL TRENDLINE MCV (4P/2P),SP,https://leilo.com.br/leilao/sao-carlos-sao-paulo/carros/volkswagen/novo-gol-trendline-mcv-(4p%2F2p)/ano.2017/76aa783d-16db-11f0-b6cf-02420a00009e,"R$ 19.400,00",23/06/2025
Leilão ao vivo em: 2 dias 17h38m47s,https://leilo.cdndp.com.br/v1/arquivo/2025/6/18/1750279577004_f15a2335-2471-4dca-9cb1-8b47e69b3f3a_pequena_leilo.webp,2018,119.982 km,CHEVROLET/ONIX LT 1.4 MECANICO (4P),SP,https://leilo.com.br/leilao/sao-carlos-sao-paulo/carros/chevrolet/onix-lt-1.4-mecanico-(4p)/ano.2018/a2d9e800-2213-11f0-bcc9-02420a000216,"R$ 31.900,00",23/06/2025
Leilão ao vivo em: 2 dias 17h38m53s,https://leilo.cdndp.com.br/v1/arquivo/2025/6/18/1750279525635_8d62e5ea-e479-4e7e-9391-3f0ccb747944_pequena_leilo.webp,2022,233.455 km,CHEVROLET/TRACKER TURBO LTZ,SP,https://leilo.com.br/leilao/sao-carlos-sao-paulo/carros/chevrolet/tracker-turbo-ltz/ano.2023/5c34a9bf-f5f2-11ef-bd15-02420a00000b,"R$ 60.500,00",23/06/2025
Leilão ao vivo em: 3 dias 12h51m52s,https://leilo.com.br/lote/fotos-modelo/carro.jpg,2021,60.197 km,HYUNDAI/HB20 VISION,GO,https://leilo.com.br/leilao/aparecida-de-goiania-goias/carros/hyundai/hb20-vision/ano.2022/5d58497a-d670-11ee-843f-02420a00007b,"R$ 37.000,00",24/06/2025
Leilão ao vivo em: 3 dias 12h52m20s,https://leilo.com.br/lote/fotos-modelo/carro.jpg,2017,76.616 km,CHEVROLET/ONIX JOYE 1.0 MECANICO (4P),GO,https://leilo.com.br/leilao/aparecida-de-goiania-goias/carros/chevrolet/onix-joye-1.0-mecanico-(4p)/ano.2018/26c7094b-6c7a-11ef-b67f-02420a000065,"R$ 26.600,00",24/06/2025
Leilão ao vivo em: 3 dias 12h52m49s,https://leilo.com.br/lote/fotos-modelo/carro.jpg,2018,155.121 km,CHEVROLET/S10 LTZ FD4A CABINE DUPLA,GO,https://leilo.com.br/leilao/aparecida-de-goiania-goias/carros/chevrolet/s10-ltz-fd4a-cabine-dupla/ano.2019/f8c0ef4d-0e31-11ef-b80e-02420a000059,"R$ 81.300,00",24/06/2025
Leilão ao vivo em: 3 dias 12h53m18s,https://leilo.cdndp.com.br/v1/arquivo/2025/6/18/1750267749511_81114bb4-6eaf-4086-9080-f832056024d3_pequena_leilo.webp,2024,13.383 km,NISSAN/KICKS ADVANCE (4P),GO,https://leilo.com.br/leilao/aparecida-de-goiania-goias/carros/nissan/kicks-advance-(4p)/ano.2024/2984893e-3fd3-11f0-b593-02420a000005,"R$ 76.500,00",24/06/2025
Leilão ao vivo em: 3 dias 12h53m45s,https://leilo.cdndp.com.br/v1/arquivo/2025/6/18/1750267870617_c9943cbd-d2d6-430d-8670-e894bb96006a_pequena_leilo.webp,2022,18.269 km,RENAULT/KWID INTENSE 2 (4P),GO,https://leilo.com.br/leilao/aparecida-de-goiania-goias/carros/renault/kwid-intense-2-(4p)/ano.2023/0498cc07-e227-11ef-903d-02420a000042,"R$ 33.500,00",24/06/2025
Leilão ao vivo em: 3 dias 12h54m14s,https://leilo.cdndp.com.br/v1/arquivo/2025/6/18/1750269424279_14b66fdf-02d0-4982-ba8c-fa3cb7a391b2_pequena_leilo.webp,2017,162.141 km,FIAT/STRADA HARD WORKING CABINE SIMPLES CC E,GO,https://leilo.com.br/leilao/aparecida-de-goiania-goias/carros/fiat/strada-hard-working-cabine-simples-cc-e/ano.2017/7c3efa27-10b0-11f0-8c72-02420a00002d,"R$ 31.900,00",24/06/2025
Leilão ao vivo em: 3 dias 12h54m43s,https://leilo.cdndp.com.br/v1/arquivo/2025/6/18/1750267779301_8e31504d-5b76-47d8-8c9e-770b7b2e3ca9_pequena_leilo.webp,2022,69.187 km,RENAULT/SANDERO STEPWAY ZEN,GO,https://leilo.com.br/leilao/aparecida-de-goiania-goias/carros/renault/sandero-stepway-zen/ano.2023/1b4b3fce-e316-11ef-903d-02420a000042,"R$ 37.300,00",24/06/2025
Leilão ao vivo em: 3 dias 12h55m12s,https://leilo.cdndp.com.br/v1/arquivo/2025/6/18/1750267788809_38dd64e9-58b5-4f3d-ba29-5b7e043e1091_pequena_leilo.webp,2021,43.836 km,TOYOTA/HILUX CD SRX A 4FD,GO,https://leilo.com.br/leilao/aparecida-de-goiania-goias/carros/toyota/hilux-cd-srx-a-4fd/ano.2021/b87b701e-3b24-11f0-b593-02420a000005,"R$ 166.300,00",24/06/2025
Leilão ao vivo em: 3 dias 12h56m40s,https://leilo.cdndp.com.br/v1/arquivo/2025/6/18/1750269384308_4f3f0358-0625-4885-b8e5-d4b86f1610dd_pequena_leilo.webp,2016,272.279 km,VOLKSWAGEN/NOVO GOL TRENDLINE MBV (4P/2P),GO,https://leilo.com.br/leilao/aparecida-de-goiania-goias/carros/volkswagen/novo-gol-trendline-mbv-(4p%2F2p)/ano.2017/3630d0eb-7f4f-11ef-a1ff-02420a0000dd,"R$ 21.000,00",24/06/2025
Leilão ao vivo em: 3 dias 12h58m39s,https://leilo.cdndp.com.br/v1/arquivo/2025/6/18/1750275597311_badff89b-aece-4291-9b14-0ca8b524e62a_pequena_leilo.webp,2017,117.599 km,HYUNDAI/HB20S PREMIUM (4P),DF,https://leilo.com.br/leilao/taguatinga-distrito-federal/carros/hyundai/hb20s-premium-(4p)/ano.2018/dd0a0207-4aa2-11f0-b593-02420a000005,"R$ 38.400,00",24/06/2025
Leilão ao vivo em: 3 dias 12h59m37s,https://leilo.cdndp.com.br/v1/arquivo/2025/6/18/1750269309278_8d35c1cd-35bc-49a0-85a9-2ca0286b7dc2_pequena_leilo.webp,2018,102.737 km,CHEVROLET/ONIX JOYE (4P),GO,https://leilo.com.br/leilao/aparecida-de-goiania-goias/carros/chevrolet/onix-joye-(4p)/ano.2018/d89a2658-a1f7-11ef-9088-02420a0000e0,"R$ 25.700,00",24/06/2025
Leilão ao vivo em: 3 dias 13h7s,https://leilo.cdndp.com.br/v1/arquivo/2025/6/18/1750269305738_71d990ca-730d-4c4b-b821-54cb089506c3_pequena_leilo.webp,2019,114.030 km,VOLKSWAGEN/GOL MB5 (4P/2P),GO,https://leilo.com.br/leilao/aparecida-de-goiania-goias/carros/volkswagen/gol-mb5-(4p%2F2p)/ano.2020/4ecae919-ab51-11ef-8e48-02420a000017,"R$ 28.000,00",24/06/2025
Leilão ao vivo em: 3 dias 13h2m6s,https://leilo.com.br/lote/fotos-modelo/carro.jpg,2013,120.582 km,LAND ROVER/EVOQUE PURE P5D,GO,https://leilo.com.br/leilao/aparecida-de-goiania-goias/carros/land-rover/evoque-pure-p5d/ano.2013/07615c69-3d28-11ef-9bb1-02420a00002f,"R$ 50.000,00",24/06/2025
Leilão: Leilão: 24/06/2025 Ter • 12:30,https://leilo.com.br/lote/fotos-modelo/carro.jpg,2005,161.151 km,VOLKSWAGEN/GOL 1.0 (2P/4P),GO,https://leilo.com.br/leilao/aparecida-de-goiania-goias/carros/volkswagen/gol-1.0-(2p%2F4p)/ano.2006/a4aa8148-3fae-11ef-9bb1-02420a00002f,"R$ 7.900,00",24/06/2025
Leilão ao vivo em: 3 dias 13h3m4s,https://leilo.com.br/lote/fotos-modelo/carro.jpg,2019,70.504 km,TOYOTA/COROLLA XEI,GO,https://leilo.com.br/leilao/aparecida-de-goiania-goias/carros/toyota/corolla-xei/ano.2020/86bbf270-0e2f-11ef-b80e-02420a000059,"R$ 75.000,00",24/06/2025
Leilão ao vivo em: 3 dias 13h3m34s,https://leilo.com.br/lote/fotos-modelo/carro.jpg,2012,95.894 km,VOLKSWAGEN/SAVEIRO CABINE ESTENDIDA CROSS (2P),GO,https://leilo.com.br/leilao/aparecida-de-goiania-goias/carros/volkswagen/saveiro-cabine-estendida-cross-(2p)/ano.2012/b7fbf0df-0ed8-11ef-b80e-02420a000059,"R$ 25.000,00",24/06/2025
Leilão ao vivo em: 3 dias 13h4m3s,https://leilo.cdndp.com.br/v1/arquivo/2025/6/20/1750442516887_1eaf9e76-a254-4f13-a4a6-356c92b1e417_pequena_leilo.webp,2009,49.614 km,FIAT/STRADA ADVENT FLEX CABINE ESTENDIDA,GO,https://leilo.com.br/leilao/aparecida-de-goiania-goias/carros/fiat/strada-advent-flex-cabine-estendida/ano.2009/64da295d-ee1c-11ef-bd15-02420a00000b,"R$ 21.300,00",24/06/2025
Leilão ao vivo em: 3 dias 13h4m32s,https://leilo.cdndp.com.br/v1/arquivo/2025/6/18/1750269225129_b9193884-8407-490b-ad5f-dfca6ecdae3d_pequena_leilo.webp,2014,200.022 km,FIAT/PALIO FIRE WAY (4P),GO,https://leilo.com.br/leilao/aparecida-de-goiania-goias/carros/fiat/palio-fire-way-(4p)/ano.2015/f9a95a0f-ae56-11ef-8e48-02420a000017,"R$ 17.800,00",24/06/2025
Leilão ao vivo em: 3 dias 13h5m1s,https://leilo.cdndp.com.br/v1/arquivo/2025/6/18/1750269215048_2c865aab-8aff-4010-b453-ddc0abb756b8_pequena_leilo.webp,2011,121.580 km,AUDI/A4 (4P),GO,https://leilo.com.br/leilao/aparecida-de-goiania-goias/carros/audi/a4-(4p)/ano.2011/3c09647e-b66d-11ef-8e48-02420a000017,"R$ 33.800,00",24/06/2025
Leilão ao vivo em: 3 dias 13h5m29s,https://leilo.cdndp.com.br/v1/arquivo/2025/6/18/1750269190148_ee4e19fc-049d-42aa-aa70-340667e0c818_pequena_leilo.webp,2016,135.250 km,CHEVROLET/ONIX JOYE (4P),GO,https://leilo.com.br/leilao/aparecida-de-goiania-goias/carros/chevrolet/onix-joye-(4p)/ano.2017/12bf5590-b6fa-11ef-8e48-02420a000017,"R$ 24.400,00",24/06/2025
Leilão ao vivo em: 3 dias 13h6m29s,https://leilo.cdndp.com.br/v1/arquivo/2025/6/18/1750269156001_f233fc54-51b6-489d-87da-332467584f32_pequena_leilo.webp,2012,218.898 km,VOLKSWAGEN/FOX GII 1.6 (4P/2P),GO,https://leilo.com.br/leilao/aparecida-de-goiania-goias/carros/volkswagen/fox-gii-1.6-(4p%2F2p)/ano.2013/bcc88e56-bbb3-11ef-8e48-02420a000017,"R$ 17.000,00",24/06/2025
Leilão ao vivo em: 3 dias 13h6m58s,https://leilo.cdndp.com.br/v1/arquivo/2025/6/20/1750442517278_b9ba92c8-402d-40a6-bdb8-e86967b93c6a_pequena_leilo.webp,2017,91.972 km,FIAT/PALIO FIRE (4P/2P),GO,https://leilo.com.br/leilao/aparecida-de-goiania-goias/carros/fiat/palio-fire-(4p%2F2p)/ano.2017/5d4c5c09-05ba-11f0-8c72-02420a00002d,"R$ 11.700,00",24/06/2025
Leilão ao vivo em: 3 dias 13h7m27s,https://leilo.cdndp.com.br/v1/arquivo/2025/6/20/1750450044844_4ac866e4-c388-436f-a626-e703683a7a22_pequena_leilo.webp,2019,46.944 km,RENAULT/KANGOO MAX ZEL,DF,https://leilo.com.br/leilao/taguatinga-distrito-federal/carros/renault/kangoo-max-zel/ano.2020/079b4b60-4b88-11f0-b593-02420a000005,-,24/06/2025
Leilão ao vivo em: 3 dias 13h8m25s,https://leilo.cdndp.com.br/v1/arquivo/2025/6/18/1750269125603_f5dbb741-709b-4e7e-80ab-3aa92d38777b_pequena_leilo.webp,2022,139.512 km,RENAULT/OROCH INTENSE 1.6 M,GO,https://leilo.com.br/leilao/aparecida-de-goiania-goias/carros/renault/oroch-intense-1.6-m/ano.2023/b99e4a40-bc79-11ef-8e48-02420a000017,"R$ 52.000,00",24/06/2025
Leilão ao vivo em: 3 dias 13h9m24s,https://leilo.cdndp.com.br/v1/arquivo/2025/6/20/1750442372990_a272f1b4-ea20-4b4b-bde7-33accdb06d67_pequena_leilo.webp,2014,111.856 km,CAOA-CHERY/TIGGO FL AT,GO,https://leilo.com.br/leilao/aparecida-de-goiania-goias/carros/caoa-chery/tiggo-fl-at/ano.2015/00b45621-064b-11f0-8c72-02420a00002d,"R$ 23.000,00",24/06/2025
Leilão ao vivo em: 3 dias 13h9m54s,https://leilo.cdndp.com.br/v1/arquivo/2025/6/20/1750442412908_0b7779ef-56cd-4119-a6dc-799e58063a06_pequena_leilo.webp,2014,198.665 km,RENAULT/LOGAN EXPRESSION (4P),GO,https://leilo.com.br/leilao/aparecida-de-goiania-goias/carros/renault/logan-expression-(4p)/ano.2014/d4666ac0-3cc8-11f0-b593-02420a000005,"R$ 16.000,00",24/06/2025
Leilão: Leilão: 24/06/2025 Ter • 12:30,https://leilo.com.br/lote/fotos-modelo/carro.jpg,2012,N/A,NISSAN/TIIDA FLEX (4P),GO,https://leilo.com.br/leilao/aparecida-de-goiania-goias/carros/nissan/tiida-flex-(4p)/ano.2013/19415cfb-750c-11ef-8b26-02420a000015,"R$ 12.000,00",24/06/2025
Leilão ao vivo em: 3 dias 13h10m52s,https://leilo.cdndp.com.br/v1/arquivo/2025/6/18/1750269069572_bdf2fb23-ccf5-4adf-83ff-b526d53f8dfe_pequena_leilo.webp,2018,108.673 km,CHEVROLET/PRISMA LTZ 1.4 MECANICO (4P),GO,https://leilo.com.br/leilao/aparecida-de-goiania-goias/carros/chevrolet/prisma-ltz-1.4-mecanico-(4p)/ano.2019/141df465-d33d-11ef-903d-02420a000042,"R$ 35.200,00",24/06/2025
Leilão ao vivo em: 3 dias 13h11m21s,https://leilo.cdndp.com.br/v1/arquivo/2025/6/18/1750275915588_5d538706-f7b7-477f-b9ef-47bb057266b5_pequena_leilo.webp,2011,204.765 km,MITSUBISHI/ASX 4X4,GO,https://leilo.com.br/leilao/aparecida-de-goiania-goias/carros/mitsubishi/asx-4x4/ano.2012/27e05d39-dd6a-11ef-903d-02420a000042,"R$ 33.100,00",24/06/2025
Leilão ao vivo em: 3 dias 13h12m0s,https://leilo.cdndp.com.br/v1/arquivo/2025/6/20/1750429385015_e546e8ca-95ff-4899-a4af-6a78dccfdddf_pequena_leilo.webp,2019,N/A,CHEVROLET/ONIX JOYE (4P),GO,https://leilo.com.br/leilao/aparecida-de-goiania-goias/carros/chevrolet/onix-joye-(4p)/ano.2019/55fadbfc-3af3-11f0-b593-02420a000005,"R$ 27.700,00",24/06/2025
