Título,Link,Imagem,UF,Ano,KM,Valor do Lance,Situação,Data Leilão
FORD/FIESTA FLEX (4P),https://leilo.com.br/leilao/aparecida-de-goiania-goias/carros/ford/fiesta-flex-(4p)/ano.2014/fbc52f1c-0e21-11f0-8c72-02420a00002d,https://leilo.cdndp.com.br/v1/arquivo/2025/6/18/1750269802551_993796e0-1e24-4773-9370-216b75bcfab9_pequena_leilo.webp,GO,2013,192.080 km,"R$ 16.300,00",Leilão ao vivo em: 4 dias 18h9m21s,24/06/2025
FIAT/BRAVO SPORTING (4P),https://leilo.com.br/leilao/aparecida-de-goiania-goias/carros/fiat/bravo-sporting-(4p)/ano.2014/dd562457-eeee-11ef-bd15-02420a00000b,https://leilo.cdndp.com.br/v1/arquivo/2025/6/18/1750274966394_8f671dd9-a3c7-4533-81fc-7bdc6bb121f4_pequena_leilo.webp,GO,2013,103.029 km,"R$ 24.000,00",Leilão ao vivo em: 4 dias 18h9m51s,24/06/2025
VOLKSWAGEN/POLO MCA,https://leilo.com.br/leilao/aparecida-de-goiania-goias/carros/volkswagen/polo-mca/ano.2018/5e069401-0ffc-11f0-8c72-02420a00002d,https://leilo.cdndp.com.br/v1/arquivo/2025/6/18/1750269759705_9349349e-1685-474f-944c-e93f81c7ec89_pequena_leilo.webp,GO,2018,77.529 km,"R$ 35.900,00",Leilão ao vivo em: 4 dias 18h10m21s,24/06/2025
CHEVROLET/CORSA SEDAN PREMIUM (2P/4P),https://leilo.com.br/leilao/aparecida-de-goiania-goias/carros/chevrolet/corsa-sedan-premium-(2p%2F4p)/ano.2011/c5436989-29bf-11f0-9f79-02420a000005,https://leilo.cdndp.com.br/v1/arquivo/2025/6/18/1750275029388_f098af4d-0494-4b3e-a51d-9132e81871a8_pequena_leilo.webp,GO,2010,N/A,"R$ 15.600,00",Leilão ao vivo em: 4 dias 18h10m50s,24/06/2025
RENAULT/SANDERO AUTHENTIQUE (4P),https://leilo.com.br/leilao/aparecida-de-goiania-goias/carros/renault/sandero-authentique-(4p)/ano.2020/9dc0f165-3bc7-11f0-b593-02420a000005,https://leilo.cdndp.com.br/v1/arquivo/2025/6/18/1750275103794_dcff7ff1-3aa4-49b3-bf8b-05966f5cd596_pequena_leilo.webp,GO,2019,91.922 km,"R$ 25.100,00",Leilão ao vivo em: 4 dias 18h11m20s,24/06/2025
CITROEN/C4 EXCLUSIVE A 5P F (4P),https://leilo.com.br/leilao/aparecida-de-goiania-goias/carros/citroen/c4-exclusive-a-5p-f-(4p)/ano.2010/6584a882-1088-11f0-8c72-02420a00002d,https://leilo.cdndp.com.br/v1/arquivo/2025/6/18/1750275865018_6d1df51b-ac70-431c-a62e-7d509a7afd7d_pequena_leilo.webp,GO,2009,N/A,"R$ 15.100,00",Leilão ao vivo em: 4 dias 18h11m49s,24/06/2025
FORD/FOCUS HC FLEX (4P),https://leilo.com.br/leilao/aparecida-de-goiania-goias/carros/ford/focus-hc-flex-(4p)/ano.2011/61ccad1e-34e3-11f0-9f79-02420a000005,https://leilo.cdndp.com.br/v1/arquivo/2025/6/18/1750275146741_2bb7b619-06e5-4734-8d82-3a37fb1b9a5c_pequena_leilo.webp,GO,2010,N/A,"R$ 18.100,00",Leilão ao vivo em: 4 dias 18h12m19s,24/06/2025
VOLKSWAGEN/FOX GII 1.0 (2P/4P),https://leilo.com.br/leilao/aparecida-de-goiania-goias/carros/volkswagen/fox-gii-1.0-(2p%2F4p)/ano.2011/69c88b4c-4163-11f0-b593-02420a000005,https://leilo.cdndp.com.br/v1/arquivo/2025/6/18/1750269704277_5728c0b4-6dbd-4dca-930e-08c20e29b420_pequena_leilo.webp,GO,2010,153.665 km,"R$ 15.300,00",Leilão ao vivo em: 4 dias 18h12m49s,24/06/2025
FIAT/PUNTO ATTRACTIVE (4P),https://leilo.com.br/leilao/aparecida-de-goiania-goias/carros/fiat/punto-attractive-(4p)/ano.2013/01a16a85-1a32-11f0-bf87-02420a000088,https://leilo.cdndp.com.br/v1/arquivo/2025/6/18/1750269669151_44221607-83de-4099-bfb1-5064f62cf41a_pequena_leilo.webp,GO,2013,165.684 km,"R$ 19.500,00",Leilão ao vivo em: 4 dias 18h13m48s,24/06/2025
FIAT/SIENA TETRAFUEL 1.4 (4P),https://leilo.com.br/leilao/aparecida-de-goiania-goias/carros/fiat/siena-tetrafuel-1.4-(4p)/ano.2014/17cf3c03-2431-11f0-bcc9-02420a000216,https://leilo.cdndp.com.br/v1/arquivo/2025/6/18/1750270758411_9bcf33b4-aa0f-4753-b66c-cf98cd2f6d47_pequena_leilo.webp,GO,2013,121.131 km,"R$ 19.200,00",Leilão ao vivo em: 4 dias 18h14m48s,24/06/2025
VOLKSWAGEN/GOL 1.0 (2P/4P),https://leilo.com.br/leilao/aparecida-de-goiania-goias/carros/volkswagen/gol-1.0-(2p%2F4p)/ano.2009/7ff237a0-301e-11f0-9f79-02420a000005,https://leilo.cdndp.com.br/v1/arquivo/2025/6/18/1750270722296_4a6630c4-759c-4d68-922b-2af3be89c451_pequena_leilo.webp,GO,2009,154.980 km,"R$ 13.000,00",Leilão ao vivo em: 4 dias 18h15m16s,24/06/2025
HYUNDAI/HB20S VISION,https://leilo.com.br/leilao/aparecida-de-goiania-goias/carros/hyundai/hb20s-vision/ano.2022/4401fc0d-3319-11f0-9f79-02420a000005,https://leilo.cdndp.com.br/v1/arquivo/2025/6/18/1750270786249_52504af2-20c6-4f6d-ac75-18be9061c50a_pequena_leilo.webp,GO,2021,54.590 km,"R$ 37.900,00",Leilão ao vivo em: 4 dias 18h15m46s,24/06/2025
VOLKSWAGEN/FOX GII 1.6 (4P/2P),https://leilo.com.br/leilao/aparecida-de-goiania-goias/carros/volkswagen/fox-gii-1.6-(4p%2F2p)/ano.2013/5647e43f-34b9-11f0-9f79-02420a000005,https://leilo.cdndp.com.br/v1/arquivo/2025/6/18/1750275617797_0189f817-d85e-40ee-adce-807260782be7_pequena_leilo.webp,GO,2013,217.022 km,"R$ 20.900,00",Leilão ao vivo em: 4 dias 18h16m16s,24/06/2025
FIAT/UNO MILLE ECONOMY (2P/4P),https://leilo.com.br/leilao/aparecida-de-goiania-goias/carros/fiat/uno-mille-economy-(2p%2F4p)/ano.2012/e5b098fa-3662-11f0-bd5d-02420a000005,https://leilo.com.br/lote/fotos-modelo/carro.jpg,GO,2011,174.238 km,"R$ 11.900,00",Leilão ao vivo em: 4 dias 18h17m46s,24/06/2025
FORD/KA SEL B (4P),https://leilo.com.br/leilao/aparecida-de-goiania-goias/carros/ford/ka-sel-b-(4p)/ano.2017/15fd2d79-3673-11f0-bd5d-02420a000005,https://leilo.cdndp.com.br/v1/arquivo/2025/6/18/1750275689869_58bd1197-4b56-4f2f-87f2-a0650c5f10bf_pequena_leilo.webp,GO,2016,207.879 km,"R$ 23.600,00",Leilão ao vivo em: 4 dias 18h19m45s,24/06/2025
VOLKSWAGEN/GOL MC5 (4P/2P),https://leilo.com.br/leilao/aparecida-de-goiania-goias/carros/volkswagen/gol-mc5-(4p%2F2p)/ano.2022/f8200357-3704-11f0-bd5d-02420a000005,https://leilo.cdndp.com.br/v1/arquivo/2025/6/18/1750275666799_1f925ef9-e9e9-49e0-9965-6c6ef4222cb0_pequena_leilo.webp,GO,2021,121.381 km,"R$ 28.900,00",Leilão ao vivo em: 4 dias 18h20m15s,24/06/2025
CHEVROLET/PRISMA JOYE 1.0 MECANICO (4P),https://leilo.com.br/leilao/aparecida-de-goiania-goias/carros/chevrolet/prisma-joye-1.0-mecanico-(4p)/ano.2018/ed3eceb1-367c-11f0-bd5d-02420a000005,https://leilo.cdndp.com.br/v1/arquivo/2025/6/18/1750275702285_d1152629-1468-45fc-82fd-1dec25aed7b8_pequena_leilo.webp,GO,2018,98.632 km,"R$ 25.700,00",Leilão ao vivo em: 4 dias 18h20m44s,24/06/2025
HONDA/FIT EX CVT (4P),https://leilo.com.br/leilao/aparecida-de-goiania-goias/carros/honda/fit-ex-cvt-(4p)/ano.2015/d61c555d-3a54-11f0-9677-02420a00000b,https://leilo.cdndp.com.br/v1/arquivo/2025/6/18/1750275778595_37d26e4a-37e7-45e5-9f50-e06603cd87e5_pequena_leilo.webp,GO,2014,104.810 km,"R$ 35.100,00",Leilão ao vivo em: 4 dias 18h21m44s,24/06/2025
VOLKSWAGEN/NOVO GOL (2P/4P),https://leilo.com.br/leilao/aparecida-de-goiania-goias/carros/volkswagen/novo-gol-(2p%2F4p)/ano.2013/4db0df72-3007-11f0-9f79-02420a000005,https://leilo.com.br/lote/fotos-modelo/carro.jpg,GO,2012,124.388 km,"R$ 14.900,00",Leilão ao vivo em: 4 dias 18h22m44s,24/06/2025
FORD/FIESTA HATCH S (4P),https://leilo.com.br/leilao/aparecida-de-goiania-goias/carros/ford/fiesta-hatch-s-(4p)/ano.2014/9d7c45e1-3b07-11f0-b593-02420a000005,https://leilo.cdndp.com.br/v1/arquivo/2025/6/18/1750275759561_a2cff0b8-8d49-47a9-8f3d-2a7934bbf40d_pequena_leilo.webp,GO,2013,150.770 km,"R$ 19.400,00",Leilão ao vivo em: 4 dias 18h23m13s,24/06/2025
VOLKSWAGEN/FOX COMFORTLINE MBV (4P/2P),https://leilo.com.br/leilao/aparecida-de-goiania-goias/carros/volkswagen/fox-comfortline-mbv-(4p%2F2p)/ano.2017/5d0dbeac-3b25-11f0-b593-02420a000005,https://leilo.cdndp.com.br/v1/arquivo/2025/6/18/1750275789346_4a40eddc-2a62-435e-9c15-c45882ab511a_pequena_leilo.webp,GO,2016,110.001 km,"R$ 27.800,00",Leilão ao vivo em: 4 dias 18h23m42s,24/06/2025
MITSUBISHI/LANCER (4P),https://leilo.com.br/leilao/aparecida-de-goiania-goias/carros/mitsubishi/lancer-(4p)/ano.2013/7babbdd0-318f-11f0-9f79-02420a000005,https://leilo.cdndp.com.br/v1/arquivo/2025/6/18/1750275267033_b853b728-9521-4c0d-acf9-669013f7ec88_pequena_leilo.webp,GO,2012,144.355 km,"R$ 29.400,00",Leilão ao vivo em: 4 dias 18h24m12s,24/06/2025
AUDI/A4 TFSI (4P),https://leilo.com.br/leilao/aparecida-de-goiania-goias/carros/audi/a4-tfsi-(4p)/ano.2014/fa28f9e0-3b2b-11f0-b593-02420a000005,https://leilo.cdndp.com.br/v1/arquivo/2025/6/18/1750275829075_e35be68c-9834-4c46-b55e-5e477fd8abc8_pequena_leilo.webp,GO,2014,95.893 km,"R$ 43.300,00",Leilão ao vivo em: 4 dias 18h24m42s,24/06/2025
FORD/KA SEL B (4P),https://leilo.com.br/leilao/aparecida-de-goiania-goias/carros/ford/ka-sel-b-(4p)/ano.2017/f37e117a-3d65-11f0-b593-02420a000005,https://leilo.cdndp.com.br/v1/arquivo/2025/6/18/1750270360944_5c14e30e-f089-461c-9cfd-452b3f88ccbf_pequena_leilo.webp,GO,2016,N/A,"R$ 21.800,00",Leilão ao vivo em: 4 dias 18h25m41s,24/06/2025
RENAULT/KANGOO EXPRESS (2P/4P),https://leilo.com.br/leilao/aparecida-de-goiania-goias/carros/renault/kangoo-express-(2p%2F4p)/ano.2017/25fda08a-3d6e-11f0-b593-02420a000005,https://leilo.cdndp.com.br/v1/arquivo/2025/6/18/1750270331503_52fbbae9-72f8-438c-bf44-9cff28cf486e_pequena_leilo.webp,GO,2016,148.942 km,"R$ 27.100,00",Leilão ao vivo em: 4 dias 18h26m10s,24/06/2025
FORD/FOCUS TITANIUM AT SC (4P),https://leilo.com.br/leilao/aparecida-de-goiania-goias/carros/ford/focus-titanium-at-sc-(4p)/ano.2016/deff3772-3d7b-11f0-b593-02420a000005,https://leilo.cdndp.com.br/v1/arquivo/2025/6/18/1750270244381_9634370d-dd1a-4d3a-9ebc-fd275ed22eb3_pequena_leilo.webp,GO,2016,178.859 km,"R$ 33.000,00",Leilão ao vivo em: 4 dias 18h26m40s,24/06/2025
RENAULT/KWID INTENSE 2 (4P),https://leilo.com.br/leilao/aparecida-de-goiania-goias/carros/renault/kwid-intense-2-(4p)/ano.2023/3601c950-406f-11f0-b593-02420a000005,https://leilo.cdndp.com.br/v1/arquivo/2025/6/18/1750275250878_0ab7bdf9-8e7f-4e46-b9b4-58e678d63e47_pequena_leilo.webp,GO,2022,63.499 km,"R$ 30.500,00",Leilão ao vivo em: 4 dias 18h27m10s,24/06/2025
RENAULT/LOGAN ZEN,https://leilo.com.br/leilao/aparecida-de-goiania-goias/carros/renault/logan-zen/ano.2023/22458b7d-408c-11f0-b593-02420a000005,https://leilo.com.br/lote/fotos-modelo/carro.jpg,GO,2022,138.942 km,"R$ 33.300,00",Leilão ao vivo em: 4 dias 18h27m39s,24/06/2025
VOLKSWAGEN/TIGUAN TSI,https://leilo.com.br/leilao/aparecida-de-goiania-goias/carros/volkswagen/tiguan-tsi/ano.2011/63acf323-40a0-11f0-b593-02420a000005,https://leilo.cdndp.com.br/v1/arquivo/2025/6/18/1750275310906_30ed6cdf-6c66-46e7-bad8-1e440c85202a_pequena_leilo.webp,GO,2011,148.523 km,"R$ 29.900,00",Leilão ao vivo em: 4 dias 18h28m9s,24/06/2025
RENAULT/KWID ZEN 1.0 MECANICO (4P),https://leilo.com.br/leilao/aparecida-de-goiania-goias/carros/renault/kwid-zen-1.0-mecanico-(4p)/ano.2022/595ce0b9-40a5-11f0-b593-02420a000005,https://leilo.cdndp.com.br/v1/arquivo/2025/6/18/1750275350544_5dd5354e-d599-4837-88a9-9f8f6971348b_pequena_leilo.webp,GO,2021,208.206 km,"R$ 25.800,00",Leilão ao vivo em: 4 dias 18h28m30s,24/06/2025
RENAULT/CLIO EXPRESSION 10 16VH (4P/2P),https://leilo.com.br/leilao/aparecida-de-goiania-goias/carros/renault/clio-expression-10-16vh-(4p%2F2p)/ano.2014/33890cea-40ab-11f0-b593-02420a000005,https://leilo.cdndp.com.br/v1/arquivo/2025/6/18/1750275376406_798dbe51-159e-4abd-9155-d62f29fcf2b1_pequena_leilo.webp,GO,2013,117.171 km,"R$ 16.000,00",Leilão ao vivo em: 4 dias 18h28m60s,24/06/2025
FIAT/IDEA ATTRACTIVE,https://leilo.com.br/leilao/aparecida-de-goiania-goias/carros/fiat/idea-attractive/ano.2012/b490929c-4135-11f0-b593-02420a000005,https://leilo.com.br/lote/fotos-modelo/carro.jpg,GO,2012,156.228 km,"R$ 17.400,00",Leilão: Leilão: 24/06/2025 Ter • 12:30,24/06/2025
VOLKSWAGEN/GOL MB5 (4P/2P),https://leilo.com.br/leilao/aparecida-de-goiania-goias/carros/volkswagen/gol-mb5-(4p%2F2p)/ano.2019/875d5000-415e-11f0-b593-02420a000005,https://leilo.cdndp.com.br/v1/arquivo/2025/6/18/1750275411445_0209acf5-1458-4c1c-a77b-457f35a13a44_pequena_leilo.webp,GO,2019,152.984 km,"R$ 26.700,00",Leilão ao vivo em: 4 dias 18h29m59s,24/06/2025
VOLKSWAGEN/FOX GII 1.6 (4P/2P),https://leilo.com.br/leilao/aparecida-de-goiania-goias/carros/volkswagen/fox-gii-1.6-(4p%2F2p)/ano.2012/9c49093a-416a-11f0-b593-02420a000005,https://leilo.cdndp.com.br/v1/arquivo/2025/6/18/1750275432759_4686fc09-2c62-4ddf-a526-56e83232ae38_pequena_leilo.webp,GO,2011,216.094 km,"R$ 19.300,00",Leilão ao vivo em: 4 dias 18h30m28s,24/06/2025
FIAT/FIORINO 1.4 FLEX,https://leilo.com.br/leilao/aparecida-de-goiania-goias/carros/fiat/fiorino-1.4-flex/ano.2015/6c13e750-453e-11f0-b593-02420a000005,https://leilo.com.br/lote/fotos-modelo/carro.jpg,GO,2014,143.322 km,"R$ 28.400,00",Leilão: Leilão: 24/06/2025 Ter • 12:30,24/06/2025
VOLKSWAGEN/GOL MC4 (4P/2P),https://leilo.com.br/leilao/aparecida-de-goiania-goias/carros/volkswagen/gol-mc4-(4p%2F2p)/ano.2020/d70d71de-462f-11f0-b593-02420a000005,https://leilo.cdndp.com.br/v1/arquivo/2025/6/18/1750275536963_e607c0ee-0535-4006-bdf6-6fbd649941e8_pequena_leilo.webp,GO,2019,58.722 km,"R$ 27.800,00",Leilão ao vivo em: 4 dias 18h32m26s,24/06/2025
VOLKSWAGEN/NOVA SAVEIRO CABINE ESTENDIDA (2P),https://leilo.com.br/leilao/aparecida-de-goiania-goias/carros/volkswagen/nova-saveiro-cabine-estendida-(2p)/ano.2014/da9dbc02-463b-11f0-b593-02420a000005,https://leilo.com.br/lote/fotos-modelo/carro.jpg,GO,2013,143.586 km,"R$ 26.200,00",Leilão: Leilão: 24/06/2025 Ter • 12:30,24/06/2025
FIAT/PALIO ATTRACT (4P),https://leilo.com.br/leilao/aparecida-de-goiania-goias/carros/fiat/palio-attract-(4p)/ano.2015/486df81e-1ab6-11f0-abeb-02420a0000a3,https://leilo.cdndp.com.br/v1/arquivo/2025/6/18/1750275515869_dc0b2dbc-b521-4462-8eef-96bcc6e1ab67_pequena_leilo.webp,GO,2014,110.509 km,"R$ 21.500,00",Leilão ao vivo em: 4 dias 18h33m25s,24/06/2025
RENAULT/SANDERO AUTHENTIQUE (2P/4P),https://leilo.com.br/leilao/aparecida-de-goiania-goias/carros/renault/sandero-authentique-(2p%2F4p)/ano.2016/a1b0d4d6-2b3c-11f0-9f79-02420a000005,https://leilo.cdndp.com.br/v1/arquivo/2025/6/18/1750274806741_ce5096d5-058f-461a-ae09-3f8d2ef487c9_pequena_leilo.webp,GO,2015,156.829 km,"R$ 19.400,00",Leilão ao vivo em: 4 dias 18h33m55s,24/06/2025
HONDA/CIVIC LXS (4P),https://leilo.com.br/leilao/aparecida-de-goiania-goias/carros/honda/civic-lxs-(4p)/ano.2015/af3700a7-2fef-11f0-9f79-02420a000005,https://leilo.cdndp.com.br/v1/arquivo/2025/6/18/1750275549846_b0c52804-fb24-4fad-b08d-8913cad877dc_pequena_leilo.webp,GO,2015,123.007 km,"R$ 38.800,00",Leilão ao vivo em: 4 dias 18h34m24s,24/06/2025
FORD/KA SE PLUS AT C,https://leilo.com.br/leilao/aparecida-de-goiania-goias/carros/ford/ka-se-plus-at-c/ano.2021/50b0e50f-2080-11f0-bcc9-02420a000216,https://leilo.cdndp.com.br/v1/arquivo/2025/6/18/1750274777499_d64b32a4-803f-41c1-be52-565109edfd18_pequena_leilo.webp,GO,2020,90.345 km,"R$ 30.500,00",Leilão ao vivo em: 4 dias 18h34m54s,24/06/2025
CHEVROLET/ONIX PLUS 10MT LT2,https://leilo.com.br/leilao/goiania-goias/carros/chevrolet/onix-plus-10mt-lt2/ano.2024/3f179089-0be7-11f0-8c72-02420a00002d,https://leilo.cdndp.com.br/v1/arquivo/2025/6/18/1750274836315_b0f670e1-f827-422d-8a68-bbe478eda909_pequena_leilo.webp,,2023,75.593 km,"R$ 41.600,00",Leilão ao vivo em: 4 dias 18h35m23s,24/06/2025
CHEVROLET/ONIX PLUS 10TAT PR2,https://leilo.com.br/leilao/goiania-goias/carros/chevrolet/onix-plus-10tat-pr2/ano.2024/2f6b86a4-14a4-11f0-b6cf-02420a00009e,https://leilo.com.br/lote/fotos-modelo/carro.jpg,,2023,61.736 km,"R$ 57.100,00",Leilão ao vivo em: 4 dias 18h35m53s,24/06/2025
CITROEN/C3 GLX 14 FLEX (2P/4P),https://leilo.com.br/leilao/aparecida-de-goiania-goias/carros/citroen/c3-glx-14-flex-(2p%2F4p)/ano.2009/cac69f94-eaf0-11ef-bd15-02420a00000b,https://leilo.cdndp.com.br/v1/arquivo/2025/6/18/1750270819900_fef1ce9d-2851-4462-b2b3-269bc8a47b8d_pequena_leilo.webp,GO,2009,N/A,"R$ 11.000,00",Leilão ao vivo em: 4 dias 18h36m23s,24/06/2025
VOLKSWAGEN/SAVEIRO CABINE DUPLA CROSS MA,https://leilo.com.br/leilao/cuiaba-mato-grosso/carros/volkswagen/saveiro-cabine-dupla-cross-ma/ano.2016/254ffb8b-13f1-11f0-b6cf-02420a00009e,https://leilo.cdndp.com.br/v1/arquivo/2025/6/18/1750270805857_4370d124-f322-44bc-96f6-c7f643ecfd82_pequena_leilo.webp,MT,2015,126.083 km,"R$ 39.200,00",Leilão ao vivo em: 4 dias 18h36m52s,24/06/2025
I/FORD FOCUS 1.6L HA (4P),https://leilo.com.br/leilao/campo-grande-mato-grosso-do-sul/carros/i/ford-focus-1.6l-ha-(4p)/ano.2005/73aa4c11-d305-11ee-843f-02420a00007b,https://leilo.com.br/lote/fotos-modelo/carro.jpg,MS,2004,189.646 km,"R$ 8.200,00",Leilão: Leilão: 24/06/2025 Ter • 12:30,24/06/2025
CHEVROLET/ONIX LT 1.0 (4P),https://leilo.com.br/leilao/aparecida-de-goiania-goias/carros/chevrolet/onix-lt-1.0-(4p)/ano.2019/d5451fb1-b23e-11ef-8e48-02420a000017,https://leilo.cdndp.com.br/v1/arquivo/2025/6/18/1750274909454_c765dea6-88ff-46f7-88dd-eacfd759ca4a_pequena_leilo.webp,GO,2019,63.276 km,"R$ 29.900,00",Leilão ao vivo em: 4 dias 18h37m51s,24/06/2025
CHEVROLET/ONIX 10TAT HB,https://leilo.com.br/leilao/aparecida-de-goiania-goias/carros/chevrolet/onix-10tat-hb/ano.2022/f415e39b-2a8c-11f0-9f79-02420a000005,https://leilo.cdndp.com.br/v1/arquivo/2025/6/18/1750274907667_2ac77e68-7750-4b0e-8fb0-c02b87ed8f17_pequena_leilo.webp,GO,2022,131.496 km,"R$ 39.700,00",Leilão ao vivo em: 4 dias 18h38m21s,24/06/2025
CHEVROLET/ONIX PLUS 10TAT LTZ,https://leilo.com.br/leilao/manaus-amazonas/carros/chevrolet/onix-plus-10tat-ltz/ano.2020/38ffea88-10c1-11f0-8c72-02420a00002d,https://leilo.cdndp.com.br/v1/arquivo/2025/6/18/1750274991282_ea931d4f-84e5-4306-b337-dd740a6a3bb8_pequena_leilo.webp,AM,2019,112.967 km,"R$ 39.600,00",Leilão ao vivo em: 4 dias 18h38m51s,24/06/2025
TOYOTA/COROLLA XEI,https://leilo.com.br/leilao/taguatinga-distrito-federal/carros/toyota/corolla-xei/ano.2023/a99762d8-2068-11f0-bcc9-02420a000216,https://leilo.cdndp.com.br/v1/arquivo/2025/6/18/1750274860364_ae628d29-850e-41e8-a3cb-54d00dd5a4d0_pequena_leilo.webp,DF,2023,173.216 km,"R$ 73.300,00",Leilão ao vivo em: 4 dias 18h39m20s,24/06/2025
CHEVROLET/TRACKER TURBO LTZ,https://leilo.com.br/leilao/aparecida-de-goiania-goias/carros/chevrolet/tracker-turbo-ltz/ano.2025/258eee05-1b89-11f0-abeb-02420a0000a3,https://leilo.cdndp.com.br/v1/arquivo/2025/6/18/1750275503363_9936ad79-cc0b-4aa2-be8b-8626cf186ee3_pequena_leilo.webp,GO,2024,7.629 km,"R$ 74.400,00",Leilão ao vivo em: 6 dias 3h16m20s,25/06/2025
CHEVROLET/ONIX PLUS 10TAT PR2,https://leilo.com.br/leilao/sao-carlos-sao-paulo/carros/chevrolet/onix-plus-10tat-pr2/ano.2025/dfb78267-13ff-11f0-b6cf-02420a00009e,https://leilo.com.br/lote/fotos-modelo/carro.jpg,SP,2024,17.783 km,"R$ 60.600,00",Leilão ao vivo em: 6 dias 3h16m49s,25/06/2025
CHEVROLET/TRACKER TURBO LTZ,https://leilo.com.br/leilao/eusebio-ceara/carros/chevrolet/tracker-turbo-ltz/ano.2023/b393064c-ed39-11ef-bd15-02420a00000b,https://leilo.com.br/lote/fotos-modelo/carro.jpg,CE,2022,30.555 km,"R$ 60.500,00",Leilão ao vivo em: 6 dias 3h17m19s,25/06/2025
CHEVROLET/ONIX 1.0 TURBO AUTOMATICO PREMIER2,https://leilo.com.br/leilao/alvorada-rio-grande-do-sul/carros/chevrolet/onix-1.0-turbo-automatico-premier2/ano.2024/2f6b60eb-002d-11f0-8c72-02420a00002d,https://leilo.cdndp.com.br/v1/arquivo/2025/6/18/1750275060694_81ab1199-40f6-430f-879f-e99d7a0d5f8a_pequena_leilo.webp,RS,2023,50.663 km,"R$ 55.800,00",Leilão ao vivo em: 6 dias 3h17m49s,25/06/2025
CHEVROLET/TRACKER A LT,https://leilo.com.br/leilao/sao-carlos-sao-paulo/carros/chevrolet/tracker-a-lt/ano.2023/575b352b-0bd7-11f0-8c72-02420a00002d,https://leilo.com.br/lote/fotos-modelo/carro.jpg,SP,2022,45.889 km,"R$ 56.400,00",Leilão ao vivo em: 6 dias 3h18m18s,25/06/2025
CHEVROLET/TRACKER TURBO LTZ,https://leilo.com.br/leilao/sao-carlos-sao-paulo/carros/chevrolet/tracker-turbo-ltz/ano.2024/49f0eca5-2502-11f0-bcc9-02420a000216,https://leilo.com.br/lote/fotos-modelo/carro.jpg,SP,2023,31.137 km,"R$ 68.400,00",Leilão ao vivo em: 6 dias 3h18m48s,25/06/2025
CHEVROLET/TRACKER A PREMIER,https://leilo.com.br/leilao/sao-jose-dos-pinhais-parana/carros/chevrolet/tracker-a-premier/ano.2023/1b14ad33-fa88-11ef-8c72-02420a00002d,https://leilo.cdndp.com.br/v1/arquivo/2025/6/18/1750275465869_1bb598a0-0b78-4b46-bc50-e15f96421a77_pequena_leilo.webp,PR,2022,35.301 km,"R$ 65.200,00",Leilão ao vivo em: 6 dias 3h19m18s,25/06/2025
CHEVROLET/MONTANA TURBO LTZ,https://leilo.com.br/leilao/aparecida-de-goiania-goias/carros/chevrolet/montana-turbo-ltz/ano.2023/c32e1f3c-e2f3-11ef-903d-02420a000042,https://leilo.cdndp.com.br/v1/arquivo/2025/6/18/1750275478084_c49dc590-2b24-463c-bc05-77d8d1886bb7_pequena_leilo.webp,GO,2023,29.917 km,"R$ 66.000,00",Leilão ao vivo em: 6 dias 3h19m47s,25/06/2025
CHEVROLET/ONIX 10MT LT2,https://leilo.com.br/leilao/eusebio-ceara/carros/chevrolet/onix-10mt-lt2/ano.2024/790d9ba6-1acf-11f0-abeb-02420a0000a3,https://leilo.cdndp.com.br/v1/arquivo/2025/6/18/1750275398617_4d4bf163-214f-4620-84ed-c9b787d2b23f_pequena_leilo.webp,CE,2024,25.255 km,"R$ 45.000,00",Leilão ao vivo em: 6 dias 3h20m17s,25/06/2025
CHEVROLET/ONIX PLUS 10TMT LT1,https://leilo.com.br/leilao/eusebio-ceara/carros/chevrolet/onix-plus-10tmt-lt1/ano.2024/94bf5e2f-bf00-11ef-8e48-02420a000017,https://leilo.com.br/lote/fotos-modelo/carro.jpg,CE,2023,12.050 km,"R$ 48.100,00",Leilão ao vivo em: 6 dias 3h20m41s,25/06/2025
