veiculo_titulo,veiculo_link_lote,veiculo_imagem,veiculo_patio_uf,veiculo_ano_fabricacao,veiculo_km,veiculo_valor_lance_atual,veiculo_situacao,veiculo_data_leilao,veiculo_tipo_combustivel,veiculo_cor,veiculo_possui_chave,veiculo_tipo_retomada,veiculo_tipo,veiculo_valor_fipe,veiculo_fabricante,veiculo_modelo,veiculo_patio_uf_localizacao
CHEVROLET/ONIX PLUS 10TAT LTZ,https://leilo.com.br/leilao/aparecida-de-goiania-goias/carros/chevrolet/onix-plus-10tat-ltz/ano.2024/01b01296-4e08-11f0-b593-02420a000005,https://leilo.cdndp.com.br/v1/arquivo/2025/7/10/1752173250833_2968df61-dbcb-4a30-850b-5bb5a1e81248_pequena_leilo.webp,GO,2023,24.328 km,65000.00,Leilão ao vivo em: 4 dias 13h51m50s,15/07/2025,N/A,N/A,N/A,N/A,N/A,N/A,CHEVROLET,ONIX PLUS 10TAT LTZ,N/A
CHEVROLET/MERIVA MAXX,https://leilo.com.br/leilao/aparecida-de-goiania-goias/carros/chevrolet/meriva-maxx/ano.2009/1d1865a2-245c-11f0-bcc9-02420a000216,https://leilo.cdndp.com.br/v1/arquivo/2025/7/10/1752173251287_b14004e5-3af5-4252-91c3-d36b3e281aaa_pequena_leilo.webp,GO,2009,289.904 km,14400.00,Leilão ao vivo em: 4 dias 13h52m20s,15/07/2025,N/A,N/A,N/A,N/A,N/A,N/A,CHEVROLET,MERIVA MAXX,N/A
FORD/FUSION (4P),https://leilo.com.br/leilao/aparecida-de-goiania-goias/carros/ford/fusion-(4p)/ano.2007/9f1e222f-4a27-11ed-a391-02420a000011,https://leilo.cdndp.com.br/v1/arquivo/2025/7/10/1752173436165_19ea379e-585d-45d2-ae33-1a9fcc7cff38_pequena_leilo.webp,GO,2007,49.804 km,15700.00,Leilão ao vivo em: 4 dias 13h52m49s,15/07/2025,N/A,N/A,N/A,N/A,N/A,N/A,FORD,FUSION (4P),N/A
FIAT/BRAVO SPORTING (4P),https://leilo.com.br/leilao/aparecida-de-goiania-goias/carros/fiat/bravo-sporting-(4p)/ano.2014/dd562457-eeee-11ef-bd15-02420a00000b,https://leilo.cdndp.com.br/v1/arquivo/2025/7/10/1752173191331_5818f7b0-2cf3-406d-9f22-4f08e20f276a_pequena_leilo.webp,GO,2013,103.029 km,24000.00,Leilão ao vivo em: 4 dias 13h53m19s,15/07/2025,N/A,N/A,N/A,N/A,N/A,N/A,FIAT,BRAVO SPORTING (4P),N/A
CHEVROLET/ZAFIRA ELITE,https://leilo.com.br/leilao/aparecida-de-goiania-goias/carros/chevrolet/zafira-elite/ano.2006/3a8aac73-324c-11f0-9f79-02420a000005,https://leilo.cdndp.com.br/v1/arquivo/2025/7/10/1752173163403_aac7c3b8-f8eb-4f93-8611-72c2884ab553_pequena_leilo.webp,GO,2006,153.222 km,15300.00,Leilão ao vivo em: 4 dias 13h53m48s,15/07/2025,N/A,N/A,N/A,N/A,N/A,N/A,CHEVROLET,ZAFIRA ELITE,N/A
HYUNDAI/IX35,https://leilo.com.br/leilao/aparecida-de-goiania-goias/carros/hyundai/ix35/ano.2012/6aeb2b00-4210-11f0-b593-02420a000005,https://leilo.cdndp.com.br/v1/arquivo/2025/7/10/1752173460834_93ca9d7f-ef2f-4cf8-a973-c3d4b1127876_pequena_leilo.webp,GO,2011,N/A,34700.00,Leilão ao vivo em: 4 dias 13h54m18s,15/07/2025,N/A,N/A,N/A,N/A,N/A,N/A,HYUNDAI,IX35,N/A
FORD/FIESTA HATCH SE A (4P),https://leilo.com.br/leilao/aparecida-de-goiania-goias/carros/ford/fiesta-hatch-se-a-(4p)/ano.2015/da9ff667-4b91-11f0-b593-02420a000005,https://leilo.cdndp.com.br/v1/arquivo/2025/7/10/1752173130529_b2b91dde-e16c-463f-af55-f67977440066_pequena_leilo.webp,GO,2015,92.632 km,24100.00,Leilão ao vivo em: 4 dias 13h54m47s,15/07/2025,N/A,N/A,N/A,N/A,N/A,N/A,FORD,FIESTA HATCH SE A (4P),N/A
CITROEN/C3 GLX 14 FLEX (2P/4P),https://leilo.com.br/leilao/taguatinga-distrito-federal/carros/citroen/c3-glx-14-flex-(2p%2F4p)/ano.2008/31306f9e-24f2-11f0-bcc9-02420a000216,https://leilo.cdndp.com.br/v1/arquivo/2025/7/10/1752158673905_c1704242-0947-45b4-85d2-06029524a554_pequena_leilo.webp,DF,2008,229.530 km,10300.00,Leilão ao vivo em: 4 dias 13h55m47s,15/07/2025,N/A,N/A,N/A,N/A,N/A,N/A,CITROEN,C3 GLX 14 FLEX (2P/4P),N/A
VOLKSWAGEN/GOL 1.0 GIV (2P/4P),https://leilo.com.br/leilao/aparecida-de-goiania-goias/carros/volkswagen/gol-1.0-giv-(2p%2F4p)/ano.2011/0f13e960-0ca1-11f0-8c72-02420a00002d,https://leilo.cdndp.com.br/v1/arquivo/2025/7/10/1752158706071_e6a0f4ed-f13d-450f-8cf0-1da84ee09ee8_pequena_leilo.webp,GO,2010,270.566 km,12600.00,Leilão ao vivo em: 4 dias 13h56m16s,15/07/2025,N/A,N/A,N/A,N/A,N/A,N/A,VOLKSWAGEN,GOL 1.0 GIV (2P/4P),N/A
PORSCHE/CAYENNE V6,https://leilo.com.br/leilao/aparecida-de-goiania-goias/carros/porsche/cayenne-v6/ano.2008/9d670479-d1ba-11ef-903d-02420a000042,https://leilo.cdndp.com.br/v1/arquivo/2025/7/10/1752158640553_aa49d0b5-d4e1-4ad1-99aa-1f36165d055b_pequena_leilo.webp,GO,2007,143.410 km,45300.00,Leilão ao vivo em: 4 dias 13h56m46s,15/07/2025,N/A,N/A,N/A,N/A,N/A,N/A,PORSCHE,CAYENNE V6,N/A
FIAT/TORO FREEDOM MT D CABINE DUPLA,https://leilo.com.br/leilao/aparecida-de-goiania-goias/carros/fiat/toro-freedom-mt-d-cabine-dupla/ano.2017/09cd7346-564c-11ef-ae95-02420a0000a0,https://leilo.cdndp.com.br/v1/arquivo/2025/7/10/1752158700825_c81baef1-f64b-4be3-84f0-ef5dff26129f_pequena_leilo.webp,GO,2016,120.017 km,47800.00,Leilão ao vivo em: 4 dias 13h57m16s,15/07/2025,N/A,N/A,N/A,N/A,N/A,N/A,FIAT,TORO FREEDOM MT D CABINE DUPLA,N/A
VOLKSWAGEN/VIRTUS HIGHLINE AD,https://leilo.com.br/leilao/taguatinga-distrito-federal/carros/volkswagen/virtus-highline-ad/ano.2019/c3a88471-27f0-11ef-b7fa-02420a00001f,https://leilo.cdndp.com.br/v1/arquivo/2025/7/10/1752158610908_955ad3f3-05f5-4897-814f-f3c668ef5ae4_pequena_leilo.webp,DF,2019,83.080 km,43300.00,Leilão ao vivo em: 4 dias 13h57m45s,15/07/2025,N/A,N/A,N/A,N/A,N/A,N/A,VOLKSWAGEN,VIRTUS HIGHLINE AD,N/A
BMW/X1 SDRIVE 18I VL31,https://leilo.com.br/leilao/aparecida-de-goiania-goias/carros/bmw/x1-sdrive-18i-vl31/ano.2013/d79ca399-203d-11f0-bcc9-02420a000216,https://leilo.cdndp.com.br/v1/arquivo/2025/7/10/1752158581676_9e32ef11-33f6-4d91-884b-ed35f19dcdb8_pequena_leilo.webp,GO,2013,137.862 km,42200.00,Leilão ao vivo em: 4 dias 13h58m14s,15/07/2025,N/A,N/A,N/A,N/A,N/A,N/A,BMW,X1 SDRIVE 18I VL31,N/A
PEUGEOT/307 PRESENCE PACK (4P),https://leilo.com.br/leilao/aparecida-de-goiania-goias/carros/peugeot/307-presence-pack-(4p)/ano.2009/4cf556b3-4a27-11ed-a391-02420a000011,https://leilo.cdndp.com.br/v1/arquivo/2025/7/10/1752158551719_8e3c6def-55a0-4ae7-b1fa-2b220c97d472_pequena_leilo.webp,GO,2008,138.245 km,12500.00,Leilão ao vivo em: 4 dias 13h58m43s,15/07/2025,N/A,N/A,N/A,N/A,N/A,N/A,PEUGEOT,307 PRESENCE PACK (4P),N/A
FIAT/PALIO FIRE ECONOMY (2P/4P),https://leilo.com.br/leilao/taguatinga-distrito-federal/carros/fiat/palio-fire-economy-(2p%2F4p)/ano.2014/4b6e315e-dd9e-11ef-903d-02420a000042,https://leilo.cdndp.com.br/v1/arquivo/2025/7/10/1752158525349_89f7409f-4081-4aed-9a4b-a8f66fe7e4ed_pequena_leilo.webp,DF,2013,166.623 km,13800.00,Leilão ao vivo em: 4 dias 13h59m13s,15/07/2025,N/A,N/A,N/A,N/A,N/A,N/A,FIAT,PALIO FIRE ECONOMY (2P/4P),N/A
FORD/KA HATCH SE 1.0 (4P),https://leilo.com.br/leilao/aparecida-de-goiania-goias/carros/ford/ka-hatch-se-1.0-(4p)/ano.2015/a88f8ede-e9fe-11ef-903d-02420a000042,https://leilo.cdndp.com.br/v1/arquivo/2025/7/10/1752158491844_54512774-0f5c-4b20-87ca-38a98f442feb_pequena_leilo.webp,GO,2015,216.049 km,19400.00,Leilão ao vivo em: 4 dias 13h59m43s,15/07/2025,N/A,N/A,N/A,N/A,N/A,N/A,FORD,KA HATCH SE 1.0 (4P),N/A
LAND ROVER/EVOQUE PURE P5D,https://leilo.com.br/leilao/aparecida-de-goiania-goias/carros/land-rover/evoque-pure-p5d/ano.2012/b152b705-f515-11ef-bd15-02420a00000b,https://leilo.cdndp.com.br/v1/arquivo/2025/7/10/1752158464398_7662e499-0222-47d2-a7ba-408a8011c689_pequena_leilo.webp,GO,2012,160.722 km,47300.00,Leilão ao vivo em: 4 dias 14h12s,15/07/2025,N/A,N/A,N/A,N/A,N/A,N/A,LAND ROVER,EVOQUE PURE P5D,N/A
CITROEN/C4 EXCLUSIVE A 5P F (4P),https://leilo.com.br/leilao/aparecida-de-goiania-goias/carros/citroen/c4-exclusive-a-5p-f-(4p)/ano.2011/9cdf072b-f542-11ef-bd15-02420a00000b,https://leilo.cdndp.com.br/v1/arquivo/2025/7/10/1752158524317_32bb7d38-afc9-46c2-b884-7068e2372820_pequena_leilo.webp,GO,2010,228.870 km,15600.00,Leilão ao vivo em: 4 dias 14h42s,15/07/2025,N/A,N/A,N/A,N/A,N/A,N/A,CITROEN,C4 EXCLUSIVE A 5P F (4P),N/A
FIAT/MOBI EASY (4P),https://leilo.com.br/leilao/aparecida-de-goiania-goias/carros/fiat/mobi-easy-(4p)/ano.2018/2a010ee4-79e7-11ef-b484-02420a00006a,https://leilo.cdndp.com.br/v1/arquivo/2025/7/10/1752158431444_f042b7e9-9295-4615-a2af-2a783e492331_pequena_leilo.webp,GO,2017,109.015 km,20500.00,Leilão ao vivo em: 4 dias 14h1m11s,15/07/2025,N/A,N/A,N/A,N/A,N/A,N/A,FIAT,MOBI EASY (4P),N/A
NISSAN/FRONTIER SE 25 4X4 CABINE DUPLA,https://leilo.com.br/leilao/aparecida-de-goiania-goias/carros/nissan/frontier-se-25-4x4-cabine-dupla/ano.2011/8b4aebb4-00e5-11f0-8c72-02420a00002d,https://leilo.cdndp.com.br/v1/arquivo/2025/7/10/1752158401080_ab4a0ea3-078c-4608-9d9c-e276ae2269f6_pequena_leilo.webp,GO,2010,197.160 km,40300.00,Leilão ao vivo em: 4 dias 14h1m40s,15/07/2025,N/A,N/A,N/A,N/A,N/A,N/A,NISSAN,FRONTIER SE 25 4X4 CABINE DUPLA,N/A
CITROEN/C4 ATF TENDANCE (4P),https://leilo.com.br/leilao/taguatinga-distrito-federal/carros/citroen/c4-atf-tendance-(4p)/ano.2014/673125e3-04ec-11f0-8c72-02420a00002d,https://leilo.cdndp.com.br/v1/arquivo/2025/7/10/1752158374303_26ff3881-e276-4386-a7e1-49b6738f9d16_pequena_leilo.webp,DF,2013,184.210 km,22600.00,Leilão ao vivo em: 4 dias 14h2m29s,15/07/2025,N/A,N/A,N/A,N/A,N/A,N/A,CITROEN,C4 ATF TENDANCE (4P),N/A
VOLKSWAGEN/GOL 1.0 GIV (2P/4P),https://leilo.com.br/leilao/aparecida-de-goiania-goias/carros/volkswagen/gol-1.0-giv-(2p%2F4p)/ano.2009/d4afedfd-10ce-11f0-8c72-02420a00002d,https://leilo.cdndp.com.br/v1/arquivo/2025/7/10/1752158611032_4ce8734b-8267-4217-8093-cf73b36af68e_pequena_leilo.webp,GO,2008,215.642 km,12400.00,Leilão ao vivo em: 4 dias 14h2m58s,15/07/2025,N/A,N/A,N/A,N/A,N/A,N/A,VOLKSWAGEN,GOL 1.0 GIV (2P/4P),N/A
HONDA/CIVIC LXL FLEX (4P),https://leilo.com.br/leilao/aparecida-de-goiania-goias/carros/honda/civic-lxl-flex-(4p)/ano.2011/101c278c-13b9-11f0-8c72-02420a00002d,https://leilo.cdndp.com.br/v1/arquivo/2025/7/10/1752158341259_2fa6bfa5-6e6b-4dd7-91d5-560102cb0099_pequena_leilo.webp,GO,2011,143.837 km,28400.00,Leilão ao vivo em: 4 dias 14h3m28s,15/07/2025,N/A,N/A,N/A,N/A,N/A,N/A,HONDA,CIVIC LXL FLEX (4P),N/A
LAND ROVER/FREELANDER2 SD4 SE,https://leilo.com.br/leilao/aparecida-de-goiania-goias/carros/land-rover/freelander2-sd4-se/ano.2012/74b7d85e-1afd-11f0-abeb-02420a0000a3,https://leilo.cdndp.com.br/v1/arquivo/2025/7/10/1752158284067_e8324706-984c-4b15-95a9-53f5c1f1d521_pequena_leilo.webp,GO,2012,194.263 km,33900.00,Leilão ao vivo em: 4 dias 14h3m57s,15/07/2025,N/A,N/A,N/A,N/A,N/A,N/A,LAND ROVER,FREELANDER2 SD4 SE,N/A
FORD/KA SE PLUS AT C,https://leilo.com.br/leilao/aparecida-de-goiania-goias/carros/ford/ka-se-plus-at-c/ano.2020/f940bd37-1fbc-11f0-abeb-02420a0000a3,https://leilo.cdndp.com.br/v1/arquivo/2025/7/10/1752158253534_1b34d90e-cd1c-4b0f-a668-e3335e084bf6_pequena_leilo.webp,GO,2019,93.751 km,32600.00,Leilão ao vivo em: 4 dias 14h4m27s,15/07/2025,N/A,N/A,N/A,N/A,N/A,N/A,FORD,KA SE PLUS AT C,N/A
FORD/FIESTA FLEX (4P),https://leilo.com.br/leilao/aparecida-de-goiania-goias/carros/ford/fiesta-flex-(4p)/ano.2011/0bdd7656-2505-11f0-bcc9-02420a000216,https://leilo.cdndp.com.br/v1/arquivo/2025/7/10/1752158310510_b07955bd-13ef-4e67-ad09-1ef9240e1685_pequena_leilo.webp,GO,2010,123.058 km,13200.00,Leilão ao vivo em: 4 dias 14h4m56s,15/07/2025,N/A,N/A,N/A,N/A,N/A,N/A,FORD,FIESTA FLEX (4P),N/A
CITROEN/C4 PALLAS GAF (4P),https://leilo.com.br/leilao/aparecida-de-goiania-goias/carros/citroen/c4-pallas-gaf-(4p)/ano.2010/0f0d708d-300a-11f0-9f79-02420a000005,https://leilo.cdndp.com.br/v1/arquivo/2025/7/10/1752158730346_0efd1d3a-916b-427f-a5f3-f05d9beea8ca_pequena_leilo.webp,GO,2010,227.940 km,12900.00,Leilão ao vivo em: 4 dias 14h5m25s,15/07/2025,N/A,N/A,N/A,N/A,N/A,N/A,CITROEN,C4 PALLAS GAF (4P),N/A
LIFAN/X60 VIP,https://leilo.com.br/leilao/aparecida-de-goiania-goias/carros/lifan/x60-vip/ano.2016/a1c10f53-ee29-11ef-bd15-02420a00000b,https://leilo.cdndp.com.br/v1/arquivo/2025/7/10/1752172950393_c42cec08-dbb7-4c84-a3ed-e6186f03978a_pequena_leilo.webp,GO,2015,119.737 km,23500.00,Leilão ao vivo em: 4 dias 14h7m24s,15/07/2025,N/A,N/A,N/A,N/A,N/A,N/A,LIFAN,X60 VIP,N/A
FIAT/LINEA ESSENCE (4P),https://leilo.com.br/leilao/candeias-bahia/carros/fiat/linea-essence-(4p)/ano.2014/d15ac9a7-0eff-11f0-8c72-02420a00002d,https://leilo.cdndp.com.br/v1/arquivo/2025/7/10/1752172861045_890ee4d2-953f-45fd-9d09-6877dedfe197_pequena_leilo.webp,BA,2013,N/A,17200.00,Leilão ao vivo em: 4 dias 14h8m24s,15/07/2025,N/A,N/A,N/A,N/A,N/A,N/A,FIAT,LINEA ESSENCE (4P),N/A
VOLKSWAGEN/SAVEIRO CABINE DUPLA CROSS MA,https://leilo.com.br/leilao/cuiaba-mato-grosso/carros/volkswagen/saveiro-cabine-dupla-cross-ma/ano.2016/254ffb8b-13f1-11f0-b6cf-02420a00009e,https://leilo.cdndp.com.br/v1/arquivo/2025/7/10/1752174181085_e3de3c98-26a1-4c61-914b-0698259b3685_pequena_leilo.webp,MT,2015,126.083 km,39200.00,Leilão ao vivo em: 4 dias 14h9m23s,15/07/2025,N/A,N/A,N/A,N/A,N/A,N/A,VOLKSWAGEN,SAVEIRO CABINE DUPLA CROSS MA,N/A
RENAULT/DUSTER E 4X2,https://leilo.com.br/leilao/cuiaba-mato-grosso/carros/renault/duster-e-4x2/ano.2017/57887d90-e88c-11ef-903d-02420a000042,https://leilo.com.br/lote/fotos-modelo/carro.jpg,MT,2016,261.350 km,33900.00,Leilão ao vivo em: 4 dias 14h9m53s,15/07/2025,N/A,N/A,N/A,N/A,N/A,N/A,RENAULT,DUSTER E 4X2,N/A
RENAULT/DUSTER D,https://leilo.com.br/leilao/campo-grande-mato-grosso-do-sul/carros/renault/duster-d/ano.2016/40f75426-f435-11ef-bd15-02420a00000b,https://leilo.cdndp.com.br/v1/arquivo/2025/7/10/1752173700642_bf2d7a2d-a6f9-422d-ac6d-bd19237fe6ad_pequena_leilo.webp,MS,2015,117.934 km,32200.00,Leilão ao vivo em: 4 dias 14h10m22s,15/07/2025,N/A,N/A,N/A,N/A,N/A,N/A,RENAULT,DUSTER D,N/A
VOLKSWAGEN/VOYAGE 1.0 (4P),https://leilo.com.br/leilao/campo-grande-mato-grosso-do-sul/carros/volkswagen/voyage-1.0-(4p)/ano.2011/2bf3b7aa-e3c6-11ef-903d-02420a000042,https://leilo.com.br/lote/fotos-modelo/carro.jpg,MS,2010,243.166 km,15500.00,Leilão: Leilão: 15/07/2025 Ter • 12:30,15/07/2025,N/A,N/A,N/A,N/A,N/A,N/A,VOLKSWAGEN,VOYAGE 1.0 (4P),N/A
CHEVROLET/CRUZE LTZ HB AT (4P),https://leilo.com.br/leilao/taguatinga-distrito-federal/carros/chevrolet/cruze-ltz-hb-at-(4p)/ano.2019/47dc7a59-511d-11f0-b593-02420a000005,https://leilo.cdndp.com.br/v1/arquivo/2025/7/10/1752171630766_5c0ccbc2-9111-4abe-a4f1-728a531b4e00_pequena_leilo.webp,DF,2018,N/A,30600.00,Leilão ao vivo em: 4 dias 18h15m21s,15/07/2025,N/A,N/A,N/A,N/A,N/A,N/A,CHEVROLET,CRUZE LTZ HB AT (4P),N/A
KIA/SORENTO EX2 G25,https://leilo.com.br/leilao/taguatinga-distrito-federal/carros/kia/sorento-ex2-g25/ano.2014/290f1669-4c70-11f0-b593-02420a000005,https://leilo.cdndp.com.br/v1/arquivo/2025/7/10/1752171690931_61ff8247-58ec-46b2-8c04-3e7fbe3f8b85_pequena_leilo.webp,DF,2013,180.899 km,20400.00,Leilão ao vivo em: 4 dias 18h15m50s,15/07/2025,N/A,N/A,N/A,N/A,N/A,N/A,KIA,SORENTO EX2 G25,N/A
MINI/COOPER S,https://leilo.com.br/leilao/eusebio-ceara/carros/mini/cooper-s/ano.2023/e1d32986-2b87-11f0-9f79-02420a000005,https://leilo.cdndp.com.br/v1/arquivo/2025/7/10/1752172501961_b7ed24b8-372c-4bb5-97a1-00b4049d14a2_pequena_leilo.webp,CE,2023,7.211 km,59100.00,Leilão ao vivo em: 4 dias 18h16m50s,15/07/2025,N/A,N/A,N/A,N/A,N/A,N/A,MINI,COOPER S,N/A
MITSUBISHI/PAJERO SPORT HPE,https://leilo.com.br/leilao/eusebio-ceara/carros/mitsubishi/pajero-sport-hpe/ano.2008/90299692-37fd-11f0-bd5d-02420a000005,https://leilo.cdndp.com.br/v1/arquivo/2025/7/10/1752172290357_bb18b5fe-c6ad-4d1a-b2ef-0fcdb568f08a_pequena_leilo.webp,CE,2008,167.106 km,16400.00,Leilão ao vivo em: 4 dias 18h17m19s,15/07/2025,N/A,N/A,N/A,N/A,N/A,N/A,MITSUBISHI,PAJERO SPORT HPE,N/A
FIAT/SIENA EL FLEX (4P),https://leilo.com.br/leilao/eusebio-ceara/carros/fiat/siena-el-flex-(4p)/ano.2015/b0aad8d8-3c03-11f0-b593-02420a000005,https://leilo.cdndp.com.br/v1/arquivo/2025/7/10/1752172265172_8dafab49-09f2-4c3d-a367-a5d0efc6c7be_pequena_leilo.webp,CE,2014,N/A,11000.00,Leilão ao vivo em: 4 dias 18h17m48s,15/07/2025,N/A,N/A,N/A,N/A,N/A,N/A,FIAT,SIENA EL FLEX (4P),N/A
VOLVO/XC40 T5 MOMENTUM,https://leilo.com.br/leilao/eusebio-ceara/carros/volvo/xc40-t5-momentum/ano.2019/ab72ecfb-4232-11f0-b593-02420a000005,https://leilo.cdndp.com.br/v1/arquivo/2025/7/10/1752172262028_74412d66-382b-487d-96f7-1bd3e4432d84_pequena_leilo.webp,CE,2019,104.840 km,42300.00,Leilão ao vivo em: 4 dias 18h18m18s,15/07/2025,N/A,N/A,N/A,N/A,N/A,N/A,VOLVO,XC40 T5 MOMENTUM,N/A
CHEVROLET/EQUINOX PREMIER,https://leilo.com.br/leilao/benevides-para/carros/chevrolet/equinox-premier/ano.2018/972c0120-3b31-11f0-b593-02420a000005,https://leilo.cdndp.com.br/v1/arquivo/2025/7/10/1752172230627_5d509075-5d39-44f8-9066-c82b48bfc5e0_pequena_leilo.webp,PA,2018,N/A,34200.00,Leilão ao vivo em: 4 dias 18h18m47s,15/07/2025,N/A,N/A,N/A,N/A,N/A,N/A,CHEVROLET,EQUINOX PREMIER,N/A
VOLKSWAGEN/POLO SEDAN 1.6 (4P),https://leilo.com.br/leilao/taguatinga-distrito-federal/carros/volkswagen/polo-sedan-1.6-(4p)/ano.2008/6131f16b-4e15-11f0-b593-02420a000005,https://leilo.cdndp.com.br/v1/arquivo/2025/7/10/1752172203372_55a40a84-ade8-4bc2-b413-a61450ccde02_pequena_leilo.webp,DF,2007,374.743 km,8700.00,Leilão ao vivo em: 4 dias 18h19m16s,15/07/2025,N/A,N/A,N/A,N/A,N/A,N/A,VOLKSWAGEN,POLO SEDAN 1.6 (4P),N/A
