veiculo_titulo,veiculo_link_lote,veiculo_imagem,veiculo_patio_uf,veiculo_ano_fabricacao,veiculo_km,veiculo_valor_lance_atual,veiculo_situacao,veiculo_data_leilao,veiculo_tipo_combustivel,veiculo_cor,veiculo_possui_chave,veiculo_tipo_retomada,veiculo_tipo,veiculo_valor_fipe,veiculo_fabricante,veiculo_modelo,veiculo_versao
BMW/X5 FB51,https://leilo.com.br/leilao/taguatinga-distrito-federal/carros/bmw/x5-fb51/ano.2006/0ff44fe3-52b5-11f0-b593-02420a000005,https://leilo.cdndp.com.br/v1/arquivo/2025/7/10/1752173341700_9674518d-a28d-4c87-ac15-b2fa2991966a_pequena_leilo.webp,BRASILIA-DF (TAGUATINGA/DF),2006,147.568,30000.00,Leilão ao vivo em: 2 dias 23h45m15s,15/07/2025,Gasolina,Preta,Sim,LEILOSHOP,Carros,60812.00,BMW,X5,FB51
RENAULT/KANGOO MAX ZEL,https://leilo.com.br/leilao/taguatinga-distrito-federal/carros/renault/kangoo-max-zel/ano.2020/079b4b60-4b88-11f0-b593-02420a000005,https://leilo.com.br/lote/fotos-modelo/carro.jpg,BRASILIA-DF (TAGUATINGA/DF),2019,46.944,49000.00,Leilão ao vivo em: 2 dias 23h45m45s,15/07/2025,ELETRICO_FONTE_INT,Branca,Sim,LEILOSHOP,Carros,N/A,RENAULT,KANGOO,MAX ZEL
CHEVROLET/C10,https://leilo.com.br/leilao/aparecida-de-goiania-goias/carros/chevrolet/c10/ano.1983/abba5674-541d-11f0-b593-02420a000005,https://leilo.cdndp.com.br/v1/arquivo/2025/7/10/1752173407774_cac5a74b-149f-4958-b632-e685c88f17ac_pequena_leilo.webp,PATIO CENTRAL-GO (APARECIDA DE GOIÂNIA/GO),1983,45.272,29000.00,Leilão ao vivo em: 2 dias 23h46m14s,15/07/2025,Gasolina,Branca,Sim,LEILOSHOP,Carros,N/A,CHEVROLET,C10,N/A
VOLKSWAGEN/GOL MC4 (4P/2P),https://leilo.com.br/leilao/aparecida-de-goiania-goias/carros/volkswagen/gol-mc4-(4p%2F2p)/ano.2019/e3da95c4-29d7-11f0-9f79-02420a000005,https://leilo.com.br/lote/fotos-modelo/carro.jpg,PATIO CENTRAL-GO (APARECIDA DE GOIÂNIA/GO),2018,99.155,23900.00,Leilão: Leilão: 15/07/2025 Ter • 12:30,15/07/2025,Flex,Branca,Sim,Recuperado de Financiamento,Carros,43351.00,VOLKSWAGEN,GOL,MC4 (4P/2P)
VOLKSWAGEN/NOVO GOL (2P/4P),https://leilo.com.br/leilao/aparecida-de-goiania-goias/carros/volkswagen/novo-gol-(2p%2F4p)/ano.2014/1b72e62b-4398-11f0-b593-02420a000005,https://leilo.com.br/lote/fotos-modelo/carro.jpg,PATIO CENTRAL-GO (APARECIDA DE GOIÂNIA/GO),2013,185.219,16000.00,Leilão ao vivo em: 2 dias 23h47m13s,15/07/2025,Flex,Branca,Sim,Recuperado de Financiamento,Carros,28974.00,VOLKSWAGEN,NOVO,GOL (2P/4P)
VOLKSWAGEN/BEETLE,https://leilo.com.br/leilao/aparecida-de-goiania-goias/carros/volkswagen/beetle/ano.2010/bac26848-4542-11f0-b593-02420a000005,https://leilo.cdndp.com.br/v1/arquivo/2025/7/10/1752173282508_3217d2f1-c30f-4cfe-acf1-fde4413643fa_pequena_leilo.webp,PATIO CENTRAL-GO (APARECIDA DE GOIÂNIA/GO),2009,76.264,29600.00,Leilão ao vivo em: 2 dias 23h47m43s,15/07/2025,Gasolina,Azul,Sim,LEILOSHOP,Carros,55051.00,VOLKSWAGEN,BEETLE,N/A
NISSAN/VERSA (4P),https://leilo.com.br/leilao/aparecida-de-goiania-goias/carros/nissan/versa-(4p)/ano.2018/2831f546-5131-11f0-b593-02420a000005,https://leilo.com.br/lote/fotos-modelo/carro.jpg,PATIO CENTRAL-GO (APARECIDA DE GOIÂNIA/GO),2017,310.397,23200.00,Leilão: Leilão: 15/07/2025 Ter • 12:30,15/07/2025,Flex,Prata,Sim,Recuperado de Financiamento,Carros,42136.00,NISSAN,VERSA,(4P)
FIAT/UNO DRIVE (4P/2P),https://leilo.com.br/leilao/aparecida-de-goiania-goias/carros/fiat/uno-drive-(4p%2F2p)/ano.2018/49b109af-5b58-11f0-b593-02420a000005,https://leilo.cdndp.com.br/v1/arquivo/2025/7/11/1752239460422_f9356caa-a1e6-4233-8cce-0a0c55037368_pequena_leilo.webp,PATIO CENTRAL-GO (APARECIDA DE GOIÂNIA/GO),2017,226.874,25400.00,Leilão ao vivo em: 2 dias 23h49m12s,15/07/2025,Flex,Branca,Sim,LEILOSHOP,Carros,38126.00,FIAT,UNO,DRIVE (4P/2P)
CHEVROLET/ONIX 10TMT LT1,https://leilo.com.br/leilao/sao-paulo-sao-paulo/carros/chevrolet/onix-10tmt-lt1/ano.2022/61d03a3e-454c-11f0-b593-02420a000005,https://leilo.cdndp.com.br/v1/arquivo/2025/7/10/1752172980500_36ce94cb-908f-4c3d-8622-66848757a193_pequena_leilo.webp,LOCAL EXTERNO (VERIFICAR LOCALIZAÇÃO NA DESCRIÇÃO DO LOTE),2021,151.245,40200.00,Leilão ao vivo em: 2 dias 23h49m41s,15/07/2025,Flex,Branca,Sim,-,Carros,73040.00,CHEVROLET,ONIX,10TMT LT1
HONDA/CIVIC EXL (4P),https://leilo.com.br/leilao/aparecida-de-goiania-goias/carros/honda/civic-exl-(4p)/ano.2017/b4d35b77-4082-11f0-b593-02420a000005,https://leilo.com.br/lote/fotos-modelo/carro.jpg,PATIO CENTRAL-GO (APARECIDA DE GOIÂNIA/GO),2017,188.143,56600.00,Leilão: Leilão: 15/07/2025 Ter • 12:30,15/07/2025,Flex,Branca,Sim,Recuperado de Financiamento,Carros,102762.00,HONDA,CIVIC,EXL (4P)
VOLKSWAGEN/GOL POWER (4P),https://leilo.com.br/leilao/aparecida-de-goiania-goias/carros/volkswagen/gol-power-(4p)/ano.2008/6a163705-3d92-11f0-b593-02420a000005,https://leilo.com.br/lote/fotos-modelo/carro.jpg,PATIO CENTRAL-GO (APARECIDA DE GOIÂNIA/GO),2008,381.749,13500.00,Leilão: Leilão: 15/07/2025 Ter • 12:30,15/07/2025,Flex,Preta,Sim,Recuperado de Financiamento,Carros,24453.00,VOLKSWAGEN,GOL,POWER (4P)
CHEVROLET/TRAILBLAZER PREMIER D4A,https://leilo.com.br/leilao/taguatinga-distrito-federal/carros/chevrolet/trailblazer-premier-d4a/ano.2022/139e4533-5772-11f0-b593-02420a000005,https://leilo.cdndp.com.br/v1/arquivo/2025/7/10/1752173444842_23df38af-c0ac-4007-bb06-9b88bd4e76fa_pequena_leilo.webp,BRASILIA-DF (TAGUATINGA/DF),2021,53.658,130000.00,Leilão ao vivo em: 2 dias 23h51m10s,15/07/2025,Diesel,Branca,Sim,LEILOSHOP,Carros,223299.00,CHEVROLET,TRAILBLAZER,PREMIER D4A
FIAT/FASTBACK AUDACE,https://leilo.com.br/leilao/taguatinga-distrito-federal/carros/fiat/fastback-audace/ano.2023/6677889e-5c21-11f0-b593-02420a000005,https://leilo.cdndp.com.br/v1/arquivo/2025/7/10/1752173257530_929afa29-1531-4c7f-8c0e-f917ab0e00e4_pequena_leilo.webp,BRASILIA-DF (TAGUATINGA/DF),2023,51.715,78000.00,Leilão ao vivo em: 2 dias 23h51m39s,15/07/2025,Flex,Branca,Sim,LEILOSHOP,Carros,111688.00,FIAT,FASTBACK,AUDACE
AUDI/A3 LIMOUSINE (4P),https://leilo.com.br/leilao/aparecida-de-goiania-goias/carros/audi/a3-limousine-(4p)/ano.2016/786eedd4-29e3-11f0-9f79-02420a000005,https://leilo.com.br/lote/fotos-modelo/carro.jpg,PATIO CENTRAL-GO (APARECIDA DE GOIÂNIA/GO),2015,78.836,61000.00,Leilão: Leilão: 15/07/2025 Ter • 12:30,15/07/2025,Gasolina,Preta,Sim,Recuperado de Financiamento,Carros,110734.00,AUDI,A3,LIMOUSINE (4P)
FIAT/PALIO FIRE (4P/2P),https://leilo.com.br/leilao/aparecida-de-goiania-goias/carros/fiat/palio-fire-(4p%2F2p)/ano.2015/dc9a6e91-4540-11f0-b593-02420a000005,https://leilo.com.br/lote/fotos-modelo/carro.jpg,PATIO CENTRAL-GO (APARECIDA DE GOIÂNIA/GO),2014,180.238,16900.00,Leilão ao vivo em: 2 dias 23h52m38s,15/07/2025,Flex,Branca,Sim,Recuperado de Financiamento,Carros,30622.00,FIAT,PALIO,FIRE (4P/2P)
CHEVROLET/ONIX PLUS 10TAT LTZ,https://leilo.com.br/leilao/aparecida-de-goiania-goias/carros/chevrolet/onix-plus-10tat-ltz/ano.2024/01b01296-4e08-11f0-b593-02420a000005,https://leilo.cdndp.com.br/v1/arquivo/2025/7/10/1752173250833_2968df61-dbcb-4a30-850b-5bb5a1e81248_pequena_leilo.webp,PATIO CENTRAL-GO (APARECIDA DE GOIÂNIA/GO),2023,24.328,66000.00,Leilão ao vivo em: 2 dias 23h53m8s,15/07/2025,Flex,Prata,Sim,LEILOSHOP,Carros,93754.00,CHEVROLET,ONIX,PLUS 10TAT LTZ
HYUNDAI/HB20 COMFORTLINE (4P),https://leilo.com.br/leilao/taguatinga-distrito-federal/carros/hyundai/hb20-comfortline-(4p)/ano.2016/425f7567-5b30-11f0-b593-02420a000005,https://leilo.cdndp.com.br/v1/arquivo/2025/7/11/1752239406484_1c182f0e-2704-4f50-9a3c-72dc5c453df8_pequena_leilo.webp,BRASILIA-DF (TAGUATINGA/DF),2016,125.365,25500.00,Leilão ao vivo em: 2 dias 23h53m37s,15/07/2025,Flex,Preta,Sim,LEILOSHOP,Carros,51968.00,HYUNDAI,HB20,COMFORTLINE (4P)
LAND ROVER/DEFENDER 110,https://leilo.com.br/leilao/aparecida-de-goiania-goias/carros/land-rover/defender-110/ano.1998/ae433b2d-5b59-11f0-b593-02420a000005,https://leilo.cdndp.com.br/v1/arquivo/2025/7/11/1752239140237_9397e4c6-e0b5-4aed-9665-b1066daf1cda_pequena_leilo.webp,PATIO CENTRAL-GO (APARECIDA DE GOIÂNIA/GO),1998,29.060,65000.00,Leilão ao vivo em: 2 dias 23h54m7s,15/07/2025,Diesel,Branca,Sim,LEILOSHOP,Carros,30916.00,LAND ROVER,DEFENDER,110
HONDA/FIT LX FLEX (4P),https://leilo.com.br/leilao/aparecida-de-goiania-goias/carros/honda/fit-lx-flex-(4p)/ano.2010/f6553f77-4aab-11f0-b593-02420a000005,https://leilo.com.br/lote/fotos-modelo/carro.jpg,PATIO CENTRAL-GO (APARECIDA DE GOIÂNIA/GO),2009,164.758,21600.00,Leilão ao vivo em: 2 dias 23h55m6s,15/07/2025,Flex,Branca,Sim,Recuperado de Financiamento,Carros,39193.00,HONDA,FIT,LX FLEX (4P)
HYUNDAI/HB20 COMFORT (4P),https://leilo.com.br/leilao/aparecida-de-goiania-goias/carros/hyundai/hb20-comfort-(4p)/ano.2015/c814d9c6-51b8-11f0-b593-02420a000005,https://leilo.com.br/lote/fotos-modelo/carro.jpg,PATIO CENTRAL-GO (APARECIDA DE GOIÂNIA/GO),2015,N/A,23600.00,Leilão: Leilão: 15/07/2025 Ter • 12:30,15/07/2025,Flex,Preta,Não,Recuperado de Financiamento,Carros,42799.00,HYUNDAI,HB20,COMFORT (4P)
CHEVROLET/MONTANA CONQUEST,https://leilo.com.br/leilao/aparecida-de-goiania-goias/carros/chevrolet/montana-conquest/ano.2009/75626f81-1f72-11f0-abeb-02420a0000a3,https://leilo.com.br/lote/fotos-modelo/carro.jpg,PATIO CENTRAL-GO (APARECIDA DE GOIÂNIA/GO),2008,N/A,16100.00,Leilão ao vivo em: 2 dias 23h55m58s,15/07/2025,Flex,Preta,Sim,Recuperado de Financiamento,Carros,29228.00,CHEVROLET,MONTANA,CONQUEST
HYUNDAI/HB20X STYLE (4P),https://leilo.com.br/leilao/aparecida-de-goiania-goias/carros/hyundai/hb20x-style-(4p)/ano.2015/3d43aa18-4dce-11f0-b593-02420a000005,https://leilo.com.br/lote/fotos-modelo/carro.jpg,PATIO CENTRAL-GO (APARECIDA DE GOIÂNIA/GO),2015,162.333,31000.00,Leilão: Leilão: 15/07/2025 Ter • 12:30,15/07/2025,Flex,Branca,Sim,Recuperado de Financiamento,Carros,56226.00,HYUNDAI,HB20X,STYLE (4P)
HYUNDAI/I30 (2P/4P),https://leilo.com.br/leilao/aparecida-de-goiania-goias/carros/hyundai/i30-(2p%2F4p)/ano.2011/52ad8fa1-64a9-11ef-a9ca-02420a0000bb,https://leilo.com.br/lote/fotos-modelo/carro.jpg,PATIO CENTRAL-GO (APARECIDA DE GOIÂNIA/GO),2010,N/A,23500.00,Leilão: Leilão: 15/07/2025 Ter • 12:30,15/07/2025,Gasolina,Prata,Não,Recuperado de Financiamento,Carros,42623.00,HYUNDAI,I30,(2P/4P)
RENAULT/LOGAN DYNAMIQUE (4P),https://leilo.com.br/leilao/aparecida-de-goiania-goias/carros/renault/logan-dynamique-(4p)/ano.2014/467637ff-e254-11ef-903d-02420a000042,https://leilo.com.br/lote/fotos-modelo/carro.jpg,PATIO CENTRAL-GO (APARECIDA DE GOIÂNIA/GO),2014,221.575,17700.00,Leilão ao vivo em: 2 dias 23h57m26s,15/07/2025,Flex,Prata,Sim,Recuperado de Financiamento,Carros,32047.00,RENAULT,LOGAN,DYNAMIQUE (4P)
HYUNDAI/I30 (4P),https://leilo.com.br/leilao/aparecida-de-goiania-goias/carros/hyundai/i30-(4p)/ano.2014/49f31267-774e-11ef-8b26-02420a000015,https://leilo.com.br/lote/fotos-modelo/carro.jpg,PATIO CENTRAL-GO (APARECIDA DE GOIÂNIA/GO),2013,208.738,31400.00,Leilão ao vivo em: 2 dias 23h57m56s,15/07/2025,Gasolina,Prata,Sim,Recuperado de Financiamento,Carros,56928.00,HYUNDAI,I30,(4P)
VOLKSWAGEN/NOVO GOL CITY (2P/4P),https://leilo.com.br/leilao/aparecida-de-goiania-goias/carros/volkswagen/novo-gol-city-(2p%2F4p)/ano.2014/b78b3ac1-03fb-11f0-8c72-02420a00002d,https://leilo.com.br/lote/fotos-modelo/carro.jpg,PATIO CENTRAL-GO (APARECIDA DE GOIÂNIA/GO),2013,235.798,15900.00,Leilão ao vivo em: 2 dias 23h58m25s,15/07/2025,Flex,Branca,Sim,Recuperado de Financiamento,Carros,28777.00,VOLKSWAGEN,NOVO,GOL CITY (2P/4P)
CHEVROLET/S10 EXECUTIVE D 4X4 CABINE DUPLA,https://leilo.com.br/leilao/aparecida-de-goiania-goias/carros/chevrolet/s10-executive-d-4x4-cabine-dupla/ano.2009/a45ee363-f5f9-11ef-bd15-02420a00000b,https://leilo.com.br/lote/fotos-modelo/carro.jpg,PATIO CENTRAL-GO (APARECIDA DE GOIÂNIA/GO),2008,212.385,38500.00,Leilão ao vivo em: 2 dias 23h58m55s,15/07/2025,Diesel,Prata,Sim,Recuperado de Financiamento,Carros,69873.00,CHEVROLET,S10,EXECUTIVE D 4X4 CABINE DUPLA
VOLKSWAGEN/NOVO VOYAGE (4P),https://leilo.com.br/leilao/aparecida-de-goiania-goias/carros/volkswagen/novo-voyage-(4p)/ano.2013/4e7cb3b2-7f3c-11ef-a1ff-02420a0000dd,https://leilo.com.br/lote/fotos-modelo/carro.jpg,PATIO CENTRAL-GO (APARECIDA DE GOIÂNIA/GO),2013,136.944,19200.00,Leilão ao vivo em: 2 dias 23h59m24s,15/07/2025,Flex,Branca,Sim,Recuperado de Financiamento,Carros,34773.00,VOLKSWAGEN,NOVO,VOYAGE (4P)
VOLKSWAGEN/GOL (4P/2P),https://leilo.com.br/leilao/aparecida-de-goiania-goias/carros/volkswagen/gol-(4p%2F2p)/ano.2013/28a6cea3-415e-11f0-b593-02420a000005,https://leilo.com.br/lote/fotos-modelo/carro.jpg,PATIO CENTRAL-GO (APARECIDA DE GOIÂNIA/GO),2012,164.944,18000.00,Leilão ao vivo em: 2 dias 23h59m54s,15/07/2025,Flex,Prata,Sim,Recuperado de Financiamento,Carros,32726.00,VOLKSWAGEN,GOL,(4P/2P)
HYUNDAI/TUCSON GLS 20L,https://leilo.com.br/leilao/aparecida-de-goiania-goias/carros/hyundai/tucson-gls-20l/ano.2010/a6d9641b-415d-11f0-b593-02420a000005,https://leilo.com.br/lote/fotos-modelo/carro.jpg,PATIO CENTRAL-GO (APARECIDA DE GOIÂNIA/GO),2009,283.832,21200.00,Leilão ao vivo em: 3 dias23s,15/07/2025,Gasolina,Preta,Sim,Recuperado de Financiamento,Carros,38481.00,HYUNDAI,TUCSON,GLS 20L
FORD/FIESTA 1.6 FLEX (4P),https://leilo.com.br/leilao/aparecida-de-goiania-goias/carros/ford/fiesta-1.6-flex-(4p)/ano.2013/6a83e860-da76-11ef-903d-02420a000042,https://leilo.com.br/lote/fotos-modelo/carro.jpg,PATIO CENTRAL-GO (APARECIDA DE GOIÂNIA/GO),2012,193.624,17000.00,Leilão ao vivo em: 3 dias53s,15/07/2025,Flex,Prata,Sim,Recuperado de Financiamento,Carros,30830.00,FORD,FIESTA,1.6 FLEX (4P)
FIAT/PUNTO ATTRACTIVE (4P),https://leilo.com.br/leilao/aparecida-de-goiania-goias/carros/fiat/punto-attractive-(4p)/ano.2013/27c60391-582f-11f0-b593-02420a000005,https://leilo.com.br/lote/fotos-modelo/carro.jpg,PATIO CENTRAL-GO (APARECIDA DE GOIÂNIA/GO),2013,280.250,19700.00,Leilão ao vivo em: 3 dias1m22s,15/07/2025,Flex,Branca,Sim,Recuperado de Financiamento,Carros,35655.00,FIAT,PUNTO,ATTRACTIVE (4P)
NISSAN/SENTRA S FLEX (4P),https://leilo.com.br/leilao/aparecida-de-goiania-goias/carros/nissan/sentra-s-flex-(4p)/ano.2012/29a42f02-ed69-11ef-bd15-02420a00000b,https://leilo.com.br/lote/fotos-modelo/carro.jpg,PATIO CENTRAL-GO (APARECIDA DE GOIÂNIA/GO),2011,155.093,19600.00,Leilão ao vivo em: 3 dias1m52s,15/07/2025,Flex,Preta,Sim,Recuperado de Financiamento,Carros,35573.00,NISSAN,SENTRA,S FLEX (4P)
CHEVROLET/MERIVA MAXX,https://leilo.com.br/leilao/aparecida-de-goiania-goias/carros/chevrolet/meriva-maxx/ano.2009/1d1865a2-245c-11f0-bcc9-02420a000216,https://leilo.cdndp.com.br/v1/arquivo/2025/7/10/1752173251287_b14004e5-3af5-4252-91c3-d36b3e281aaa_pequena_leilo.webp,PATIO CENTRAL-GO (APARECIDA DE GOIÂNIA/GO),2009,289.904,14400.00,Leilão ao vivo em: 3 dias2m22s,15/07/2025,Flex,Prata,Sim,Recuperado de Financiamento,Carros,26035.00,CHEVROLET,MERIVA,MAXX
FORD/FUSION (4P),https://leilo.com.br/leilao/aparecida-de-goiania-goias/carros/ford/fusion-(4p)/ano.2007/9f1e222f-4a27-11ed-a391-02420a000011,https://leilo.cdndp.com.br/v1/arquivo/2025/7/10/1752173436165_19ea379e-585d-45d2-ae33-1a9fcc7cff38_pequena_leilo.webp,PATIO CENTRAL-GO (APARECIDA DE GOIÂNIA/GO),2007,49.804,15700.00,Leilão ao vivo em: 3 dias2m51s,15/07/2025,Gasolina,Cinza,Sim,Recuperado de Financiamento,Carros,28480.00,FORD,FUSION,(4P)
FIAT/BRAVO SPORTING (4P),https://leilo.com.br/leilao/aparecida-de-goiania-goias/carros/fiat/bravo-sporting-(4p)/ano.2014/dd562457-eeee-11ef-bd15-02420a00000b,https://leilo.cdndp.com.br/v1/arquivo/2025/7/10/1752173191331_5818f7b0-2cf3-406d-9f22-4f08e20f276a_pequena_leilo.webp,PATIO CENTRAL-GO (APARECIDA DE GOIÂNIA/GO),2013,103.029,24000.00,Leilão ao vivo em: 3 dias3m21s,15/07/2025,Flex,Vermelha,Sim,Recuperado de Financiamento,Carros,43504.00,FIAT,BRAVO,SPORTING (4P)
CHEVROLET/ZAFIRA ELITE,https://leilo.com.br/leilao/aparecida-de-goiania-goias/carros/chevrolet/zafira-elite/ano.2006/3a8aac73-324c-11f0-9f79-02420a000005,https://leilo.cdndp.com.br/v1/arquivo/2025/7/10/1752173163403_aac7c3b8-f8eb-4f93-8611-72c2884ab553_pequena_leilo.webp,PATIO CENTRAL-GO (APARECIDA DE GOIÂNIA/GO),2006,153.222,15700.00,Leilão ao vivo em: 3 dias3m50s,15/07/2025,Flex,Prata,Sim,Recuperado de Financiamento,Carros,27716.00,CHEVROLET,ZAFIRA,ELITE
HYUNDAI/IX35,https://leilo.com.br/leilao/aparecida-de-goiania-goias/carros/hyundai/ix35/ano.2012/6aeb2b00-4210-11f0-b593-02420a000005,https://leilo.cdndp.com.br/v1/arquivo/2025/7/10/1752173460834_93ca9d7f-ef2f-4cf8-a973-c3d4b1127876_pequena_leilo.webp,PATIO CENTRAL-GO (APARECIDA DE GOIÂNIA/GO),2011,N/A,34700.00,Leilão ao vivo em: 3 dias4m20s,15/07/2025,Flex,Preta,Não,Recuperado de Financiamento,Carros,62120.00,HYUNDAI,IX35,N/A
