Título,Link,Imagem,UF,Ano,KM,Valor do Lance,Situação,Data Leilão,Detalhe Ano Veículo,Detalhe Combustível,Detalhe KM Veículo,Detalhe Valor Mercado,Detalhe Cor,Detalhe Possui Chave,Detalhe Tipo Retomada,Detalhe Localização,Detalhe Tipo Veículo
PEUGEOT/207 PASSION XR (4P),https://leilo.com.br/leilao/sao-carlos-sao-paulo/carros/peugeot/207-passion-xr-(4p)/ano.2011/2011ea03-3008-11f0-9f79-02420a000005,N/A,SP,2011,221.069 km,"R$ 6.000,00",Leilão ao vivo em: 1 dia 5h52m43s,23/06/2025,,,,,,,,,
MITSUBISHI/OUTLANDER V6,https://leilo.com.br/leilao/sao-carlos-sao-paulo/carros/mitsubishi/outlander-v6/ano.2008/dacab325-14a7-11f0-b6cf-02420a00009e,N/A,SP,2008,243.219 km,"R$ 16.000,00",Leilão ao vivo em: 1 dia 5h53m37s,23/06/2025,,,,,,,,,
PEUGEOT/207 XR (2P/4P),https://leilo.com.br/leilao/sao-carlos-sao-paulo/carros/peugeot/207-xr-(2p%2F4p)/ano.2011/4a911237-2607-11f0-bcc9-02420a000216,N/A,SP,2010,161.331 km,"R$ 11.200,00",Leilão ao vivo em: 1 dia 5h53m58s,23/06/2025,,,,,,,,,
VOLVO/XC60 T5 DYNAMIC,https://leilo.com.br/leilao/sao-carlos-sao-paulo/carros/volvo/xc60-t5-dynamic/ano.2012/a09bf23f-10c6-11f0-8c72-02420a00002d,N/A,SP,2011,141.001 km,"R$ 33.200,00",Leilão ao vivo em: 1 dia 5h54m22s,23/06/2025,,,,,,,,,
FIAT/BRAVO ESSENCE (4P),https://leilo.com.br/leilao/sao-carlos-sao-paulo/carros/fiat/bravo-essence-(4p)/ano.2014/8bad396c-dcdb-11ef-903d-02420a000042,N/A,SP,2013,95.775 km,"R$ 17.200,00",Leilão ao vivo em: 1 dia 5h54m42s,23/06/2025,,,,,,,,,
FORD/FOCUS 2.0L FC (4P),https://leilo.com.br/leilao/sao-carlos-sao-paulo/carros/ford/focus-2.0l-fc-(4p)/ano.2005/6e55e439-ae8d-11ef-8e48-02420a000017,N/A,SP,2005,268.241 km,"R$ 7.000,00",Leilão ao vivo em: 1 dia 5h54m46s,23/06/2025,,,,,,,,,
CHEVROLET/CELTA LT 1.0L (2P/4P),https://leilo.com.br/leilao/sao-jose-dos-pinhais-parana/carros/chevrolet/celta-lt-1.0l-(2p%2F4p)/ano.2012/cb7c8451-cea3-11ef-8e48-02420a000017,N/A,PR,2012,141.221 km,"R$ 11.000,00",Leilão ao vivo em: 1 dia 5h54m59s,23/06/2025,,,,,,,,,
FIAT/FREEMONT PREC AT6,https://leilo.com.br/leilao/alvorada-rio-grande-do-sul/carros/fiat/freemont-prec-at6/ano.2014/87a7dfdf-69fa-11ef-a764-02420a00003c,N/A,RS,2013,170.813 km,"R$ 23.000,00",Leilão ao vivo em: 1 dia 5h55m18s,23/06/2025,,,,,,,,,
CHEVROLET/CLASSIC LS (2P/4P),https://leilo.com.br/leilao/alvorada-rio-grande-do-sul/carros/chevrolet/classic-ls-(2p%2F4p)/ano.2012/1517a6ad-1471-11f0-b6cf-02420a00009e,N/A,RS,2011,145.733 km,"R$ 8.000,00",Leilão ao vivo em: 1 dia 5h55m39s,23/06/2025,,,,,,,,,
PEUGEOT/207 PASSION XR SPORT (4P),https://leilo.com.br/leilao/alvorada-rio-grande-do-sul/carros/peugeot/207-passion-xr-sport-(4p)/ano.2009/e40208fe-bc99-11ef-8e48-02420a000017,N/A,RS,2009,N/A,"R$ 7.000,00",Leilão ao vivo em: 1 dia 5h55m57s,23/06/2025,,,,,,,,,
RENAULT/CLIO CAMPUS (2P/4P),https://leilo.com.br/leilao/alvorada-rio-grande-do-sul/carros/renault/clio-campus-(2p%2F4p)/ano.2010/dab9deb5-2c10-11f0-9f79-02420a000005,N/A,RS,2009,203.404 km,"R$ 7.000,00",Leilão ao vivo em: 1 dia 5h56m15s,23/06/2025,,,,,,,,,
PEUGEOT/207 XR (2P/4P),https://leilo.com.br/leilao/sao-jose-dos-pinhais-parana/carros/peugeot/207-xr-(2p%2F4p)/ano.2012/3c31a79b-2cd6-11f0-9f79-02420a000005,N/A,PR,2011,193.754 km,"R$ 8.000,00",Leilão ao vivo em: 1 dia 5h56m38s,23/06/2025,,,,,,,,,
VOLKSWAGEN/GOL CL MI (2P/4P),https://leilo.com.br/leilao/sao-carlos-sao-paulo/carros/volkswagen/gol-cl-mi-(2p%2F4p)/ano.1999/33cfb5ae-fec8-11ef-8c72-02420a00002d,N/A,SP,2099,N/A,"R$ 5.300,00",Leilão ao vivo em: 1 dia 5h57m0s,23/06/2025,,,,,,,,,
CHEVROLET/ONIX 10MT HB,https://leilo.com.br/leilao/sao-carlos-sao-paulo/carros/chevrolet/onix-10mt-hb/ano.2023/7f101a39-1540-11f0-b6cf-02420a00009e,N/A,SP,2022,56.265 km,"R$ 42.500,00",Leilão ao vivo em: 1 dia 5h57m25s,23/06/2025,,,,,,,,,
VOLKSWAGEN/NOVO GOL TRENDLINE MCV (4P/2P),https://leilo.com.br/leilao/sao-carlos-sao-paulo/carros/volkswagen/novo-gol-trendline-mcv-(4p%2F2p)/ano.2017/76aa783d-16db-11f0-b6cf-02420a00009e,N/A,SP,2017,129.114 km,"R$ 19.800,00",Leilão ao vivo em: 1 dia 5h57m50s,23/06/2025,,,,,,,,,
CHEVROLET/ONIX LT 1.4 MECANICO (4P),https://leilo.com.br/leilao/sao-carlos-sao-paulo/carros/chevrolet/onix-lt-1.4-mecanico-(4p)/ano.2018/a2d9e800-2213-11f0-bcc9-02420a000216,N/A,SP,2018,119.982 km,"R$ 31.900,00",Leilão ao vivo em: 1 dia 5h58m13s,23/06/2025,,,,,,,,,
CHEVROLET/TRACKER TURBO LTZ,https://leilo.com.br/leilao/sao-carlos-sao-paulo/carros/chevrolet/tracker-turbo-ltz/ano.2023/5c34a9bf-f5f2-11ef-bd15-02420a00000b,N/A,SP,2022,233.455 km,"R$ 60.500,00",Leilão ao vivo em: 1 dia 5h58m29s,23/06/2025,,,,,,,,,
HYUNDAI/HB20 UNIQUE (4P),https://leilo.com.br/leilao/sao-carlos-sao-paulo/carros/hyundai/hb20-unique-(4p)/ano.2019/4a77cc7d-06b0-11f0-8c72-02420a00002d,N/A,SP,2019,86.913 km,"R$ 29.800,00",Leilão ao vivo em: 1 dia 5h58m54s,23/06/2025,,,,,,,,,
CHEVROLET/TRACKER A LT,https://leilo.com.br/leilao/sao-carlos-sao-paulo/carros/chevrolet/tracker-a-lt/ano.2024/a0ef2334-0449-11f0-8c72-02420a00002d,N/A,SP,2024,106.610 km,"R$ 62.500,00",Leilão ao vivo em: 1 dia 5h59m16s,23/06/2025,,,,,,,,,
HYUNDAI/HB20 VISION,https://leilo.com.br/leilao/aparecida-de-goiania-goias/carros/hyundai/hb20-vision/ano.2022/5d58497a-d670-11ee-843f-02420a00007b,N/A,GO,2021,60.197 km,"R$ 37.000,00",Leilão ao vivo em: 2 dias 1h11m10s,24/06/2025,,,,,,,,,
CHEVROLET/ONIX JOYE 1.0 MECANICO (4P),https://leilo.com.br/leilao/aparecida-de-goiania-goias/carros/chevrolet/onix-joye-1.0-mecanico-(4p)/ano.2018/26c7094b-6c7a-11ef-b67f-02420a000065,N/A,GO,2017,76.616 km,"R$ 26.600,00",Leilão ao vivo em: 2 dias 1h11m33s,24/06/2025,,,,,,,,,
CHEVROLET/S10 LTZ FD4A CABINE DUPLA,https://leilo.com.br/leilao/aparecida-de-goiania-goias/carros/chevrolet/s10-ltz-fd4a-cabine-dupla/ano.2019/f8c0ef4d-0e31-11ef-b80e-02420a000059,N/A,GO,2018,155.121 km,"R$ 81.800,00",Leilão ao vivo em: 2 dias 1h11m56s,24/06/2025,,,,,,,,,
NISSAN/KICKS ADVANCE (4P),https://leilo.com.br/leilao/aparecida-de-goiania-goias/carros/nissan/kicks-advance-(4p)/ano.2024/2984893e-3fd3-11f0-b593-02420a000005,N/A,GO,2024,13.383 km,"R$ 78.500,00",Leilão ao vivo em: 2 dias 1h12m18s,24/06/2025,,,,,,,,,
RENAULT/KWID INTENSE 2 (4P),https://leilo.com.br/leilao/aparecida-de-goiania-goias/carros/renault/kwid-intense-2-(4p)/ano.2023/0498cc07-e227-11ef-903d-02420a000042,N/A,GO,2022,18.269 km,"R$ 34.500,00",Leilão ao vivo em: 2 dias 1h12m41s,24/06/2025,,,,,,,,,
FIAT/STRADA HARD WORKING CABINE SIMPLES CC E,https://leilo.com.br/leilao/aparecida-de-goiania-goias/carros/fiat/strada-hard-working-cabine-simples-cc-e/ano.2017/7c3efa27-10b0-11f0-8c72-02420a00002d,N/A,GO,2017,162.141 km,"R$ 31.900,00",Leilão ao vivo em: 2 dias 1h13m6s,24/06/2025,,,,,,,,,
RENAULT/SANDERO STEPWAY ZEN,https://leilo.com.br/leilao/aparecida-de-goiania-goias/carros/renault/sandero-stepway-zen/ano.2023/1b4b3fce-e316-11ef-903d-02420a000042,N/A,GO,2022,69.187 km,"R$ 37.300,00",Leilão ao vivo em: 2 dias 1h13m28s,24/06/2025,,,,,,,,,
TOYOTA/HILUX CD SRX A 4FD,https://leilo.com.br/leilao/aparecida-de-goiania-goias/carros/toyota/hilux-cd-srx-a-4fd/ano.2021/b87b701e-3b24-11f0-b593-02420a000005,N/A,GO,2021,43.836 km,"R$ 170.300,00",Leilão ao vivo em: 2 dias 1h13m54s,24/06/2025,,,,,,,,,
VOLKSWAGEN/NOVO GOL TRENDLINE MBV (4P/2P),https://leilo.com.br/leilao/aparecida-de-goiania-goias/carros/volkswagen/novo-gol-trendline-mbv-(4p%2F2p)/ano.2017/3630d0eb-7f4f-11ef-a1ff-02420a0000dd,N/A,GO,2016,272.279 km,"R$ 21.400,00",Leilão ao vivo em: 2 dias 1h15m15s,24/06/2025,,,,,,,,,
HYUNDAI/HB20S PREMIUM (4P),https://leilo.com.br/leilao/taguatinga-distrito-federal/carros/hyundai/hb20s-premium-(4p)/ano.2018/dd0a0207-4aa2-11f0-b593-02420a000005,N/A,DF,2017,117.599 km,"R$ 38.900,00",Leilão ao vivo em: 2 dias 1h17m10s,24/06/2025,,,,,,,,,
CHEVROLET/ONIX JOYE (4P),https://leilo.com.br/leilao/aparecida-de-goiania-goias/carros/chevrolet/onix-joye-(4p)/ano.2018/d89a2658-a1f7-11ef-9088-02420a0000e0,N/A,GO,2018,102.737 km,"R$ 25.700,00",Leilão ao vivo em: 2 dias 1h18m3s,24/06/2025,,,,,,,,,
VOLKSWAGEN/GOL MB5 (4P/2P),https://leilo.com.br/leilao/aparecida-de-goiania-goias/carros/volkswagen/gol-mb5-(4p%2F2p)/ano.2020/4ecae919-ab51-11ef-8e48-02420a000017,N/A,GO,2019,114.030 km,"R$ 28.000,00",Leilão ao vivo em: 2 dias 1h18m25s,24/06/2025,,,,,,,,,
LAND ROVER/EVOQUE PURE P5D,https://leilo.com.br/leilao/aparecida-de-goiania-goias/carros/land-rover/evoque-pure-p5d/ano.2013/07615c69-3d28-11ef-9bb1-02420a00002f,N/A,GO,2013,120.582 km,"R$ 50.000,00",Leilão ao vivo em: 2 dias 1h20m17s,24/06/2025,,,,,,,,,
VOLKSWAGEN/GOL 1.0 (2P/4P),https://leilo.com.br/leilao/aparecida-de-goiania-goias/carros/volkswagen/gol-1.0-(2p%2F4p)/ano.2006/a4aa8148-3fae-11ef-9bb1-02420a00002f,N/A,GO,2005,161.151 km,"R$ 9.100,00",Leilão ao vivo em: 2 dias 1h20m40s,24/06/2025,,,,,,,,,
TOYOTA/COROLLA XEI,https://leilo.com.br/leilao/aparecida-de-goiania-goias/carros/toyota/corolla-xei/ano.2020/86bbf270-0e2f-11ef-b80e-02420a000059,N/A,GO,2019,70.504 km,"R$ 76.500,00",Leilão ao vivo em: 2 dias 1h21m1s,24/06/2025,,,,,,,,,
VOLKSWAGEN/SAVEIRO CABINE ESTENDIDA CROSS (2P),https://leilo.com.br/leilao/aparecida-de-goiania-goias/carros/volkswagen/saveiro-cabine-estendida-cross-(2p)/ano.2012/b7fbf0df-0ed8-11ef-b80e-02420a000059,N/A,GO,2012,95.894 km,"R$ 25.000,00",Leilão ao vivo em: 2 dias 1h21m25s,24/06/2025,,,,,,,,,
FIAT/STRADA ADVENT FLEX CABINE ESTENDIDA,https://leilo.com.br/leilao/aparecida-de-goiania-goias/carros/fiat/strada-advent-flex-cabine-estendida/ano.2009/64da295d-ee1c-11ef-bd15-02420a00000b,N/A,GO,2009,49.614 km,"R$ 21.700,00",Leilão ao vivo em: 2 dias 1h21m48s,24/06/2025,,,,,,,,,
FIAT/PALIO FIRE WAY (4P),https://leilo.com.br/leilao/aparecida-de-goiania-goias/carros/fiat/palio-fire-way-(4p)/ano.2015/f9a95a0f-ae56-11ef-8e48-02420a000017,N/A,GO,2014,200.022 km,"R$ 17.800,00",Leilão ao vivo em: 2 dias 1h22m6s,24/06/2025,,,,,,,,,
CHEVROLET/ONIX JOYE (4P),https://leilo.com.br/leilao/aparecida-de-goiania-goias/carros/chevrolet/onix-joye-(4p)/ano.2017/12bf5590-b6fa-11ef-8e48-02420a000017,N/A,GO,2016,135.250 km,"R$ 24.400,00",Leilão ao vivo em: 2 dias 1h22m55s,24/06/2025,,,,,,,,,
VOLKSWAGEN/FOX GII 1.6 (4P/2P),https://leilo.com.br/leilao/aparecida-de-goiania-goias/carros/volkswagen/fox-gii-1.6-(4p%2F2p)/ano.2013/bcc88e56-bbb3-11ef-8e48-02420a000017,N/A,GO,2012,218.898 km,"R$ 17.400,00",Leilão ao vivo em: 2 dias 1h23m47s,24/06/2025,,,,,,,,,
FIAT/PALIO FIRE (4P/2P),https://leilo.com.br/leilao/aparecida-de-goiania-goias/carros/fiat/palio-fire-(4p%2F2p)/ano.2017/5d4c5c09-05ba-11f0-8c72-02420a00002d,N/A,GO,2017,91.972 km,"R$ 17.700,00",Leilão ao vivo em: 2 dias 1h24m9s,24/06/2025,,,,,,,,,
RENAULT/KANGOO MAX ZEL,https://leilo.com.br/leilao/taguatinga-distrito-federal/carros/renault/kangoo-max-zel/ano.2020/079b4b60-4b88-11f0-b593-02420a000005,N/A,DF,2019,46.944 km,-,Leilão ao vivo em: 2 dias 1h24m28s,24/06/2025,,,,,,,,,
RENAULT/OROCH INTENSE 1.6 M,https://leilo.com.br/leilao/aparecida-de-goiania-goias/carros/renault/oroch-intense-1.6-m/ano.2023/b99e4a40-bc79-11ef-8e48-02420a000017,N/A,GO,2022,139.512 km,"R$ 54.500,00",Leilão ao vivo em: 2 dias 1h25m23s,24/06/2025,,,,,,,,,
CAOA-CHERY/TIGGO FL AT,https://leilo.com.br/leilao/aparecida-de-goiania-goias/carros/caoa-chery/tiggo-fl-at/ano.2015/00b45621-064b-11f0-8c72-02420a00002d,N/A,GO,2014,111.856 km,"R$ 23.000,00",Leilão ao vivo em: 2 dias 1h26m14s,24/06/2025,,,,,,,,,
RENAULT/LOGAN EXPRESSION (4P),https://leilo.com.br/leilao/aparecida-de-goiania-goias/carros/renault/logan-expression-(4p)/ano.2014/d4666ac0-3cc8-11f0-b593-02420a000005,N/A,GO,2014,198.665 km,"R$ 16.800,00",Leilão ao vivo em: 2 dias 1h26m38s,24/06/2025,,,,,,,,,
NISSAN/TIIDA FLEX (4P),https://leilo.com.br/leilao/aparecida-de-goiania-goias/carros/nissan/tiida-flex-(4p)/ano.2013/19415cfb-750c-11ef-8b26-02420a000015,N/A,GO,2012,N/A,"R$ 13.200,00",Leilão ao vivo em: 2 dias 1h26m55s,24/06/2025,,,,,,,,,
CHEVROLET/PRISMA LTZ 1.4 MECANICO (4P),https://leilo.com.br/leilao/aparecida-de-goiania-goias/carros/chevrolet/prisma-ltz-1.4-mecanico-(4p)/ano.2019/141df465-d33d-11ef-903d-02420a000042,N/A,GO,2018,108.673 km,"R$ 35.200,00",Leilão ao vivo em: 2 dias 1h27m18s,24/06/2025,,,,,,,,,
MITSUBISHI/ASX 4X4,https://leilo.com.br/leilao/aparecida-de-goiania-goias/carros/mitsubishi/asx-4x4/ano.2012/27e05d39-dd6a-11ef-903d-02420a000042,N/A,GO,2011,204.765 km,"R$ 33.100,00",Leilão ao vivo em: 2 dias 1h27m34s,24/06/2025,,,,,,,,,
CHEVROLET/ONIX JOYE (4P),https://leilo.com.br/leilao/aparecida-de-goiania-goias/carros/chevrolet/onix-joye-(4p)/ano.2019/55fadbfc-3af3-11f0-b593-02420a000005,N/A,GO,2019,N/A,"R$ 28.100,00",Leilão ao vivo em: 2 dias 1h28m26s,24/06/2025,,,,,,,,,
VOLKSWAGEN/NOVO CROSSFOX SA (4P),https://leilo.com.br/leilao/aparecida-de-goiania-goias/carros/volkswagen/novo-crossfox-sa-(4p)/ano.2015/40106c34-e7a2-11ef-903d-02420a000042,N/A,GO,2014,132.189 km,"R$ 28.800,00",Leilão ao vivo em: 2 dias 1h29m20s,24/06/2025,,,,,,,,,
NISSAN/MARCH S FLEX (4P),https://leilo.com.br/leilao/aparecida-de-goiania-goias/carros/nissan/march-s-flex-(4p)/ano.2014/471b728b-e7ea-11ef-903d-02420a000042,N/A,GO,2013,153.117 km,"R$ 20.300,00",Leilão ao vivo em: 2 dias 1h29m42s,24/06/2025,,,,,,,,,
KIA/CERATO EX3 NB (4P),https://leilo.com.br/leilao/aparecida-de-goiania-goias/carros/kia/cerato-ex3-nb-(4p)/ano.2012/6b4b0a9d-e86f-11ef-903d-02420a000042,N/A,GO,2011,195.557 km,"R$ 15.000,00",Leilão ao vivo em: 2 dias 1h30m7s,24/06/2025,,,,,,,,,
HYUNDAI/HB20S VISION,https://leilo.com.br/leilao/aparecida-de-goiania-goias/carros/hyundai/hb20s-vision/ano.2022/c7153406-4adb-11f0-b593-02420a000005,N/A,GO,2021,142.139 km,"R$ 36.800,00",Leilão ao vivo em: 2 dias 1h30m27s,24/06/2025,,,,,,,,,
PEUGEOT/408 ALLURE (4P),https://leilo.com.br/leilao/aparecida-de-goiania-goias/carros/peugeot/408-allure-(4p)/ano.2012/bd3a7a51-f383-11ef-bd15-02420a00000b,N/A,GO,2011,N/A,"R$ 16.000,00",Leilão ao vivo em: 2 dias 1h30m51s,24/06/2025,,,,,,,,,
FORD/FOCUS HC FLEX (4P),https://leilo.com.br/leilao/aparecida-de-goiania-goias/carros/ford/focus-hc-flex-(4p)/ano.2012/16789799-f5ce-11ef-bd15-02420a00000b,N/A,GO,2012,177.860 km,"R$ 17.000,00",Leilão ao vivo em: 2 dias 1h31m12s,24/06/2025,,,,,,,,,
VOLKSWAGEN/GOL MC4 (4P/2P),https://leilo.com.br/leilao/aparecida-de-goiania-goias/carros/volkswagen/gol-mc4-(4p%2F2p)/ano.2019/7f22bb41-f690-11ef-9028-02420a000044,N/A,GO,2018,100.873 km,"R$ 25.800,00",Leilão ao vivo em: 2 dias 1h31m36s,24/06/2025,,,,,,,,,
FIAT/SIENA ATTRACTIVE (2P/4P),https://leilo.com.br/leilao/aparecida-de-goiania-goias/carros/fiat/siena-attractive-(2p%2F4p)/ano.2016/76b7a8d9-04cd-11f0-8c72-02420a00002d,N/A,GO,2016,149.685 km,"R$ 22.300,00",Leilão ao vivo em: 2 dias 1h31m56s,24/06/2025,,,,,,,,,
FORD/FUSION (4P),https://leilo.com.br/leilao/aparecida-de-goiania-goias/carros/ford/fusion-(4p)/ano.2007/9f1e222f-4a27-11ed-a391-02420a000011,N/A,GO,2007,49.804 km,"R$ 15.700,00",Leilão ao vivo em: 2 dias 1h32m20s,24/06/2025,,,,,,,,,
RENAULT/LOGAN ZEN,https://leilo.com.br/leilao/taguatinga-distrito-federal/carros/renault/logan-zen/ano.2022/a1d47fbb-4c44-11f0-b593-02420a000005,N/A,DF,2021,147.742 km,"R$ 32.400,00",Leilão ao vivo em: 2 dias 1h32m43s,24/06/2025,,,,,,,,,
CHEVROLET/ONIX JOYE (4P),https://leilo.com.br/leilao/aparecida-de-goiania-goias/carros/chevrolet/onix-joye-(4p)/ano.2018/5ed81e23-fe74-11ef-8c72-02420a00002d,N/A,GO,2017,138.221 km,"R$ 20.000,00",Leilão ao vivo em: 2 dias 1h33m8s,24/06/2025,,,,,,,,,
FIAT/UNO EVOLUTION (4P),https://leilo.com.br/leilao/aparecida-de-goiania-goias/carros/fiat/uno-evolution-(4p)/ano.2015/08195487-ff57-11ef-8c72-02420a00002d,N/A,GO,2014,134.016 km,"R$ 24.800,00",Leilão ao vivo em: 2 dias 1h33m29s,24/06/2025,,,,,,,,,
FORD/FIESTA 1.6 FLEX (4P),https://leilo.com.br/leilao/aparecida-de-goiania-goias/carros/ford/fiesta-1.6-flex-(4p)/ano.2013/f38f1f4a-04b3-11f0-8c72-02420a00002d,N/A,GO,2012,145.819 km,"R$ 17.100,00",Leilão ao vivo em: 2 dias 1h33m53s,24/06/2025,,,,,,,,,
VOLKSWAGEN/GOL MC4 (4P/2P),https://leilo.com.br/leilao/aparecida-de-goiania-goias/carros/volkswagen/gol-mc4-(4p%2F2p)/ano.2020/ed3cf1b0-e4a0-11ef-903d-02420a000042,N/A,GO,2019,66.477 km,"R$ 26.500,00",Leilão ao vivo em: 2 dias 1h34m16s,24/06/2025,,,,,,,,,
HYUNDAI/HB20S PREMIUM (4P),https://leilo.com.br/leilao/aparecida-de-goiania-goias/carros/hyundai/hb20s-premium-(4p)/ano.2015/46a387a8-03f1-11f0-8c72-02420a00002d,N/A,GO,2014,186.825 km,"R$ 27.800,00",Leilão ao vivo em: 2 dias 1h34m41s,24/06/2025,,,,,,,,,
VOLKSWAGEN/FOX GII 1.0 (2P/4P),https://leilo.com.br/leilao/aparecida-de-goiania-goias/carros/volkswagen/fox-gii-1.0-(2p%2F4p)/ano.2010/31b6b530-0a42-11f0-8c72-02420a00002d,N/A,GO,2009,294.172 km,"R$ 10.000,00",Leilão ao vivo em: 2 dias 1h35m6s,24/06/2025,,,,,,,,,
FORD/FIESTA FLEX (4P),https://leilo.com.br/leilao/aparecida-de-goiania-goias/carros/ford/fiesta-flex-(4p)/ano.2014/fbc52f1c-0e21-11f0-8c72-02420a00002d,N/A,GO,2013,192.080 km,"R$ 13.000,00",Leilão ao vivo em: 2 dias 1h35m27s,24/06/2025,,,,,,,,,
FIAT/BRAVO SPORTING (4P),https://leilo.com.br/leilao/aparecida-de-goiania-goias/carros/fiat/bravo-sporting-(4p)/ano.2014/dd562457-eeee-11ef-bd15-02420a00000b,N/A,GO,2013,103.029 km,"R$ 24.000,00",Leilão ao vivo em: 2 dias 1h35m52s,24/06/2025,,,,,,,,,
