URL do Lote,Nome do Veículo (Header),Marca,Modelo,Versão,Ano de Fabricação,Ano Modelo,Fipe,Blindado,Chave,Funcionando,Combustível,Km,Número de Lances,Número de Visualizações,Data do Leilão,Horário do Leilão,Lance Atual,Situação do Lote
https://loopbrasil.net/lote/NISSAN-VERSA-16-17-/29312/,NISSAN VERSA 16/17,NISSAN,VERSA,VERSA SL CVT 1.6 16V,2016,2017,N/A,NÃO,N/A,SIM,FLEX (ALCOOL/GASOLINA),93.183,N/A,N/A,14/07/2025,09:43,"R$ 14.300,00",N/A
https://loopbrasil.net/lote/VOLKSWAGEN-POLO-20-20-/29211/,VOLKSWAGEN POLO 20/20,VOLKSWAGEN,POLO,POLO 1.0 12V MPI,2020,2020,"R$ 64.373,00",Não,Sim,Sim,FLEX (ALCOOL/GASOLINA),21.314,N/A,N/A,10/07/2025,09:43,"R$ 21.500,00",N/A
https://loopbrasil.net/lote/AUDI-Q3-21-21-/29313/,AUDI Q3 21/21,AUDI,Q3,Q3 1.4 16V TFSI TURBO,2021,2021,N/A,NÃO,N/A,SIM,GASOLINA,17.260,N/A,N/A,14/07/2025,09:44,"R$ 62.100,00",N/A
https://loopbrasil.net/lote/SUZUKI-SX4-S-CROSS-15-16-/29212/,SUZUKI SX4 S-CROSS 15/16,SUZUKI,SX4 S-CROSS GLX CVT 4WD ALL GRIP,N/A,2015,2016,"R$ 61.325,00",Não,Sim,Sim,GASOLINA,70.850,N/A,N/A,10/07/2025,09:44,"R$ 23.100,00",N/A
https://loopbrasil.net/lote/HYUNDAI-HB20S-19-20-/29314/,HYUNDAI HB20S 19/20,HYUNDAI,HB20S,HB20S DIAMOND 1.0 12V TGDI TURBO,2019,2020,N/A,NÃO,N/A,SIM,FLEX (ALCOOL/GASOLINA),34.457,N/A,N/A,14/07/2025,09:45,"R$ 20.800,00",N/A
https://loopbrasil.net/lote/MERCEDES-BENZ-CLASSE-C-18-19-/29213/,MERCEDES BENZ CLASSE C 18/19,MERCEDES BENZ,CLASSE C,CLASSE C 180 1.6 16V TURBO,2018,2019,"R$ 141.380,00",Não,N/A,Sim,FLEX (ALCOOL/GASOLINA),25.829,N/A,N/A,10/07/2025,09:45,"R$ 59.500,00",N/A
https://loopbrasil.net/lote/FIAT-STRADA-21-21-/29214/,FIAT STRADA 21/21,FIAT,STRADA,STRADA FREEDOM 1.3 FIREFLY,2021,2021,"R$ 77.591,00",Não,N/A,Sim,FLEX (ALCOOL/GASOLINA),28.928,N/A,N/A,10/07/2025,09:46,"R$ 30.500,00",N/A
https://loopbrasil.net/lote/VOLKSWAGEN-T-CROSS-20-21-/29315/,VOLKSWAGEN T-CROSS 20/21,VOLKSWAGEN,T-CROSS,T-CROSS HIGHLINE 250 AT 1.4 16V TSI TURBO,2020,2021,N/A,NÃO,N/A,SIM,FLEX (GASOLINA/ALCOOL),24.374,N/A,N/A,14/07/2025,09:46,"R$ 30.200,00",N/A
https://loopbrasil.net/lote/CHEVROLET-SPIN-15-16-/29316/,CHEVROLET SPIN 15/16,CHEVROLET,SPIN,SPIN LT 1.8 ECONO.FLEX,2015,2016,N/A,NÃO,N/A,SIM,FLEX (ALCOOL/GASOLINA),71.405,N/A,N/A,14/07/2025,09:47,"R$ 12.400,00",N/A
https://loopbrasil.net/lote/TOYOTA-COROLLA-20-20-/29215/,TOYOTA COROLLA 20/20,TOYOTA,COROLLA,COROLLA ALTIS PREMIUM 1.8 16V DUAL VVT-IE,2020,2020,"R$ 127.399,00",Não,Sim,Sim,HIBRIDO (ELETRICO/ALCOOL/GASOLINA),25.087,N/A,N/A,10/07/2025,09:47,"R$ 44.100,00",N/A
https://loopbrasil.net/lote/FIAT-GRAND-SIENA-21-21-/29317/,FIAT GRAND SIENA 21/21,FIAT,GRAND SIENA,GRAND SIENA 1.4 EVO 8V,2021,2021,N/A,NÃO,N/A,SIM,FLEX (ALCOOL/GASOLINA),24.329,N/A,N/A,14/07/2025,09:48,"R$ 14.700,00",N/A
https://loopbrasil.net/lote/HONDA-FIT-15-16-/29216/,HONDA FIT 15/16,HONDA,FIT,LX CVT 1.5 16V,2015,2016,"R$ 62.196,00",Não,N/A,Sim,FLEX (ALCOOL/GASOLINA),77.160,N/A,N/A,10/07/2025,09:48,"R$ 25.300,00",N/A
https://loopbrasil.net/lote/TOYOTA-ETIOS-20-20-/29318/,TOYOTA ETIOS 20/20,TOYOTA,ETIOS,ETIOS X 1.3 16V DUAL VVT-I,2020,2020,N/A,NÃO,N/A,SIM,FLEX (ALCOOL/GASOLINA),78.467,N/A,N/A,14/07/2025,09:49,"R$ 15.300,00",N/A
https://loopbrasil.net/lote/TOYOTA-HILUX-CD-20-20-/29217/,TOYOTA HILUX CD 20/20,TOYOTA,HILUX CD,HILUX CD SRV 2.8 D-4D TURBO,2020,2020,"R$ 195.434,00",NÃO,N/A,SIM,DIESEL,16.761,N/A,N/A,10/07/2025,09:49,"R$ 98.300,00",N/A
